bundle_id,bundle_name,bundle_type_id
7680,Опыт работы в деревообрабатывающем производстве,9
8183,Знание материалов (обобщенная),2
8206,Владение UML,1
8027,планирование животноводческой деятельности,1
7995,Ведение отчетности в животноводстве,1
7938,Работа по контракту (признаки требований),7
7939,Рост количества внештатных сотрудников (признаки требований),7
8214,Документирование бизнес-процессов,1
8197,Назначение встреч/показов (Риэлтор),1
8104,Знать устройство и принципы работы вспомогательных механизмов,2
8325,Бесплатное обучение (Риэлтор),1
8658,Управление тракторными вагонопогрузчиками/разгрузчиками,1
8434,(АГП) Наличие водительского удостоверения категории C,6
8440,Турецкий язык (ЯС),5
8441,Тайский язык (ЯС),5
8442,(АГП) Соблюдать требуемые габариты приближения к зданиям сооружениям,1
8444,(АГП) Ведение сменных рапортов,1
8448,(АГП) Знать свойства и качество смазочных материалов,2
8367,(Товаровед) Знание правил торговли,2
8327,Опыт работы (Риэлтор),1
8328,Обучение продажам (Риэлтор),1
8329,Обучение рынку недвижимости (Риэлтор),1
8330,"Сборка жалюзи, каркасов, блок-модулей",1
8331,Обучение/агент по недвижимости (Риэлтор),1
8332,Умение производить контроль шаблонами,1
7940,Закуски в офисе (признаки требований),7
7946,Корпоративный автомобиль (признаки требований),7
7928,Заключение сделок(Риэлтор),1
7757,Поиск/подбор недвижимости (Риэлтор),1
8488,проводить работу по повышению качества продукции,1
8489,отсаживать слабую и собирать павшую птицу,1
7653,"Проведение осмотров, регистрации и страхования автотранпсорта",1
8323,Анализ НПА,1
8334,Знание устройства техники PONSSE,2
7879,Консультирование по аренде (Риэлтор),1
7855,ETL (признаки требований),7
8306,"ЖКХс Монтаж, установка, замена гибких подводок",1
7986,ЖКХс строительство и монтаже наружных инженерных систем и оборудования,1
8175,Расчет эффективности,1
8120,"ЖКХс Монтаж, установка, ремонт, замена оборудования сан-узлов",1
8659,Погрузо-разгрузочные работы на дробильно-сортировочном комплексе,1
8661,Работы с использованием погрузо-разгрузочного навесного оборудования,1
8662,Погрузка-разгрузка строительных материалов,1
8663,(Товаровед) Анализ товара,1
8664,Погрузка-разгрузка нерудных материалов,1
8337,Опыт продаж загор./комм./вторич.недвижимости (Риэлтор),1
8274,Знание конструктива/конструкции/устройства оборудования/устройств/машин  (обобщенная),2
8338,Знание конструктива мебели,2
8339,Покупка вторич./ком.недвижимости (Риэлтор),1
8340,Покупка гор./жил.недвижимости (Риэлтор),1
8341,Оказание риэлторских услуг (Риэлтор),1
8343,Знание конструктива корпусной мебели,2
8344,Продажа эконом./VIP недвижимости (Риэлтор),1
8345,Заключение/подписание риэлт.договоров (Риэлтор),1
7894,NFT (признаки требований),7
7825,ЖКХс Ремонт и техническое обслуживание котельной,1
6757,Составление технологических и калькуляционных карт,1
7076,Разработка проектной конструкторской документации,1
7916,увеличение поголовья скота,1
8360,ЖКХсс Опыт выполнения работ по монтажу систем отопления водоснабжения,1
8181,Знание мебельной фурнитуры,2
8497,посещение участков выращивания птицы и любых видов работ,1
8498,следит за чистотой рабочего места,1
7979,ЖКХс ремонт и обслуживание наружных и внутренних инженерных систем и оборудования,1
8057,Обеспечивать производство необходимой документацией,1
8028,Разрабатывает проекты годовых и перспективных планов,1
8198,Выезд на показы (Риэлтор),1
8208,Владение нотациями IDEFO,1
7543,Предстраховая экспертиза,1
8501,Нормативные и методические материалы производства мяса цыплят-бройлеров,2
7990,Составляет графики доставки кормов,1
7991,Обеспечение сохранности кормов,1
7788,Дополнительная и виртуальная реальность (AR/VR) (признаки требований),7
7992,Консультирование в области применения комбикормов и кормовых добавок,1
7860,Подбор и презентация (Риэлтор),1
8502,Механическая очистка от загрязнений мойка внутренних поверхностей птичника,1
8660,Погрузо-разгрузочные работы в карьере,1
8253,Контроль документирования бизнес-процессов,1
8424,Знание технологии сборки мягкой мебели,2
8436,(АГП) Наличие водительского удостоверения категории E,6
8443,(АГП) Установка - снятие опорного контура,1
6342,назначение и выполнение дополнительных специальных обследований,1
8090,Обслуживание подземной самоходной техники,1
7808,Исследование рынка (Риэлтор),1
8211,Знание инструментов моделирования бизнес-процессов,2
7862,Помощь в подборе недвижимости (Риэлтор),1
7998,приобретение зоотехнического и лабораторного оборудования,1
8503,Удаление помета подстилки,1
8001,Посещение животноводческих предприятий свинокомплексы,1
8002,внедрять на фермах прогрессивную технологию выращивания,1
8000,подготавливает индивидуальные карточки свиноматок,1
7883,Обучение (Риэлтор),1
7594,Составление логистических прогнозов (Логистика),1
8121,Подбор и прием водителей,1
7761,Smart City (признаки требований),7
8164,Уметь разрабатывать учебные материалы,1
7725,OpenCV (признаки требований),7
7987,"Монтаж/установка, замена насосов в колодцы и скважины",1
8213,Описание требований/бизнес-процессов,1
7742,Работа в CRM-системе (Логистика),1
7745,Анализ/мониторинг рынка/объектов недвижимости (Риэлтор),1
8665,Погрузка-разгрузка сыпучих материалов,1
7655,3D-печать (признаки требований),7
7685,Монтаж и пусконаладка оборудования,1
7823,Уметь производить замеры углекислого газа,1
8030,Вести работу по увеличению делового выхода молодняк,1
7611,владение современными способами лечения и содержания животных,2
8068,Знание правил эксплуатации электрооборудования,2
8069,Анализировать эффективность работы сельскохозяйственной техники,1
8071,"Эксплуатация сосудов, работающих под давлением",1
7747,Подбор недвижимости (Риэлтор),1
7701,Знание зоогигиенических и ветеринарных правил содержания молодняка,2
7462,Криптовалюта (признаки требований),7
4557,Проведение хирургических операций,1
8067,ЖКХс Осуществление сантехнических работ,1
8130,Организация и контроль технологических процессов производства молока,1
1936,Японский язык (ЯС),5
7694,Поиск,1
7793,Разобрать - Инструменты,7
7829,Знание программ применяемых в племенном свиноводстве,2
8036,Сортировка и калибровка яиц с использованием оборудования,2
7609,Опыт составления рациона,9
7617,RPA (признаки требований),7
8072,ЖКХс знать сантехнические работы,2
7887,Ethereum (признаки требований),7
7683,Анализ отчетности,1
7728,Опыт работы с иностранными компаниями,1
7888,Выезд на объект (Риэлтор),1
7452,Знание устройства колтюбинговых установок,2
7773,HoloLens (признаки требований),7
8077,ЖКХс Осуществление соединения металлопластиковых трубы разными способами,1
4869,Центральный Банк,98
6127,Акции,1
7729,Сопровождение капиталов,1
7748,Анализ стоимости и ликвидности недвижимости (Риэлтор),1
7659,Аддитивные технологии (признаки требований),7
906,"Оформление, сканирование, выдача удостоверений",1
8082,Покупка и продажа запасных частей,1
6449,"Работа на стеллаже, раскладка труб по трассе",1
8449,(АГП) Знать нормы расхода смазочных материалов,2
8450,(АГП) Знание устройства и принципа работы АГП,2
4662,(АГП) Работы по подъему и перемещению грузов.,1
8445,(АГП) Оформление документов по результатам произведенных работ,1
8451,Умение работать с химическими реактивами,1
8453,(Товаровед) Знание стандартов качества,2
8454,"(АГП) ""Общие"" фразы",1
8457,(АГП) ошибочно перенесенные фразы из других квалификаций,1
3092,Выполнение плана продаж,1
2775,Знание методов обработки информации с использованием современных технологий (Библиотека),2
2836,(стропальщик) транзитная,1
212,Оформление учетно-отчетной документации по искусственному осеменению животных и птицы,1
527,Консультирование покупателей,1
6087,ЖКХс Испытание сантехнических и теплотехнических систем и оборудования,1
7668,Участие в приемке нового подвижного состава,1
4150,"Нестандартный график работы (шестидневка, 36-часовая рабочая неделя)",3
6726,технология производства свинины,2
4614,Наличие удостоверения специалиста по неразрушающему контролю,6
4797,Техника безопасности,1
8666,Владение способами погрузо-разгрузочных работ,1
8667,Погрузо-разгрузочные работы на горных выработках,1
8668,Погрузка-разгрузка инертных материалов,1
8669,Штабелирование инертных материалов,1
8452,(АГП) пустая,1
8670,Погрузка-выгрузка инертных материалов на бетонном заводе,1
8671,Опыт ТО и Р техники,9
8672,(Товаровед) Работа со складом,1
8541,Прототипирование,1
8543,Нотации,1
8545,Проектирование интерфейса,1
8546,Документальные формы результатов выполнения  прототипирования и проектирования,7
8547,Внедрение,1
8548,Разработка прототипов,1
8517,"Сборка, разборка и наладка штамповой оснастки",1
8519,Проверка качества НКТ приборами,1
8549,Согласование прототипов,1
8550,Описание прототипов,1
8551,Описание юз-кейсов,1
7561,OpenAI (признаки требований),7
7525,Укладка систем отопления,1
3261,Автоэлектрик - диагностика и устранение неисправностей,1
3678,Управление поездом (машинист РЖД осн,1
7301,Организовывать ремонт дорожно-строительной техники,1
4580,Выдача путевых листов (Логистика),1
3442,"Встреча, приветствие и сопровождение гостей предприятия питания",1
288,Высшее образование по направлению техносферная безопасность,9
5382,Планировка насыпей резервов и кавальеров,1
7293,Составление титульных списков на капитальный ремонт,1
8552,Описание вариантов взаимодействия прототипов интерфейсов,1
8553,Аналитические навыки,1
8554,Взаимодействие с дизайнерами,1
8555,Проверка на соответствие,1
8520,Опыт работы слесарем-ремонтником,9
8524,"Наладка, регулирование и ремонт автоматизированных линий",1
8525,Соблюдать правила и нормы производственной санитарии,1
8527,Поддержание чистоты на территории,1
8528,Иметь удостоверение на право управления автопогрузчиком,6
8529,Установка оснастки,1
8530,Загрузка заготовок в бункер и снятие готовых деталей,1
8531,Контроль качества заготовок,1
8533,Сборка узлов оборудования,1
8534,Умение проверять правильность взаимодействия узлов оборудования,1
8535,Резка стекла,1
8536,Учет производства продукции,1
8537,Наладка нулевого положения и зажимных приспособлений,1
8538,Работа на термопластавтоматах,1
8539,Знание компонентной базы оборудования,2
8556,Осуществлять прием и передачу поголовья животных,1
7474,Опыт работы в сфере продаж,9
7470,Знание в сфере недвижимости (Риэлтор),2
1728,АБИС (Автоматизированная библиотечная информационная система) Mark Cloud (Библиотека),7
6587,Подготовка заключений на проекты,1
8368,(Товаровед) Знание законодательства,2
8370,(Товаровед) Знание правил товароведения,2
8560,Организует работы по своевременному обеспечению рабочих необходимыми материалами,1
8561,наблюдение за общим физиологическим состоянием поголовья животных,1
8562,наблюдение за подсосными матками-верблюдицами и верблюжатами,1
8518,Сборка изделий из ПВХ,1
8521,Опыт работы с терминалом сбора данных,9
8526,Знание санитарных норм и правил,2
8532,Контроль качества работы станка,1
8420,Знание технологии производства мягкой мебели,2
8371,(Товаровед) Знание основ товароведения,2
8381,(Товаровед) Знание кассовых аппаратов/операций,2
8402,Знание базы нормативно-технического регулирования,2
8283,Знать правила расчета координатных точек,2
8241,"Владение методами сбора, систематизации, документирования требований",1
8373,(Товаровед) Знание 1С,2
3113,Установка приборов учета расхода воды,1
153,Наличие медицинской книжки,3
4454,Подготовка формовочной смеси,1
8243,Согласование требований,1
8406,(Товаровед) Знание технологии/инструкций работы с браками,2
8557,Производить прием взвешивание и перегон скота,1
8563,Сбор линьки,1
8522,Опыт работы на автопогрузчике,9
8439,Грузинский язык (ЯС),5
8446,(АГП) Оформление актов о состоянии оборудования,1
7903,Технология распределенного реестра (признаки требований),7
7950,Пенсионная программа (признаки требований),7
7954,Удобное расположение офиса (признаки требований),7
7965,Работа с визовыми центрами и консульствами,1
7971,Разобрать - Требование к опыту работы и образованию,9
7972,"Разобрать - Сертификаты, удостоверения",6
8558,Прием животных в начале смены обеспечение их сохранности,1
3008,Обслуживание клиентов в гостиницах и иных средствах размещения,1
7310,Действия.Элит.недвижимость.Работа.Риэлтор,1
6896,Консультирование клиентов по договорам страхования,1
4485,обеспечивает работы по приему поступающих на исследования материалов,1
7973,Разобрать - Инструменты,7
7981,ЖКХс знать устройство наружных инженерных систем,2
8347,Иметь удостоверение о присвоении группы электробезопасности,6
7910,Организация работы отрасли животноводства коневодство,1
8463,Умение работать на лабораторном оборудовании,1
8376,(Товаровед) Знание методов,2
8298,Структурирование требований,1
8265,Актуализация бизнес-процессов,1
8266,Выявление проблем,1
7999,Охрана прудов,2
8311,Верификация требований,1
7830,"ЖКХс ремонт и техническое обслуживание систем  отопления, водоснабжения, канализации и вентиляции",1
7453,Изготовление оснастки,1
2469,Автоэлектрик - личностные качества,8
3407,"направление пациентов на исследования, к другим специалистам",1
7960,Заключение договоров (туризм),1
8154,Участие в демонстрационных показах техники,1
7905,Торговля криптовалютами (признаки требований),7
6675,Сопровождение договоров страхования,1
6194,Наличие машины и водительских прав,1
8284,Знание порядка клеймления принятой продукции,1
8286,Проверка комплектности и соответствия документации по качеству,1
8223,Продажа жил./ком.недвижимости (Риэлтор),1
8224,Продажа загород.недвижимости (Риэлтор),1
8228,Покупка недвижимости (Риэлтор),1
8229,Сделки с недвижимостью (Риэлтор),1
8230,Проведение инвентаризации (Логистика),1
8004,Осуществление показов/просмотров/встреч (Риэлтор),1
8609,Методология,1
126,"Оказание медицинской помощи в экстренной и неотложной форме (медсестра, врач-стоматолог, массажист)",1
5836,Ведение контрактов,1
7348,Знание диетологии,2
8564,Осуществлять механизированную или ручную мойку молочных фляг,1
