is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)",Пунктуальность (СК) (612_4),Навыки по техническому обслуживанию транспортных средств соответствующей категории (без привязки) (1851_28),"Осуществление пассажирских перевозок (автобус, троллейбус, трамвай) (1853_28)",Дисциплинированность (СК) (593_4),Соблюдение правил дорожного движения (1847_28),"Общие знания (водитель трамвая, троллейбуса, трамвая) (1875_28)","Навыки, несвойственные водителю автобуса, троллейбуса, трамвая ( управление автомобилем) (1858_28)","Оформление путевой документации (водители автобуса, троллейбуса, трамвая) (1862_28)",Соблюдение графика движения автобуса по маршруту (1866_28),Знание устройств и технического обслуживания автобуса (1905_28),Выполнение поручений руководителя (ОПТ) (3036_36),Навыки по техническому обслуживанию  автобуса (1910_28),Внимательность (СК) (536_4),Выполнение ремонтных работ (ОПТ) (8285_36),"Вождение транспортных средств (без привязки к автобусу, троллейбусу, трамваю) (1902_28)",Вежливость (СК) (581_4),Вождение автобуса (1899_28),Доброжелательность (СК) (1126_4),Знание правил дорожного движения (1856_28),Воспитанность (СК) (585_4),Стрессоустойчивость (СК) (601_4),Знание устройств и технического обслуживания транспортных средств( без привязки) (1908_28),Целеустремленность (СК) (588_4)
False,2.0,Ульяновская область,1,False,25000.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Костромская область,1,False,26000.0,60000.0,7668.5393,6647.9401,6273.4082,5084.2697,4316.4794,4176.03,3558.0524,2340.824,2181.6479,2050.5618,1610.4869,1535.5805,1432.5843,1329.588,1189.1386,1104.8689,1095.5056,1029.9625,1020.5993,973.7828,945.6929,795.8801,664.794,496.2547,477.5281
False,2.0,Пензенская область,1,False,26000.0,45900.0,5866.4326,5085.6742,4799.1573,3889.4663,3302.1067,3194.6629,2721.9101,1790.7303,1668.9607,1568.6798,1232.0225,1174.7191,1095.927,1017.1348,909.691,845.2247,838.0618,787.9213,780.7584,744.9438,723.4551,608.8483,508.5674,379.6348,365.309
False,2.0,Донецкая область,1,False,60000.0,60000.0,7668.5393,6647.9401,6273.4082,5084.2697,4316.4794,4176.03,3558.0524,2340.824,2181.6479,2050.5618,1610.4869,1535.5805,1432.5843,1329.588,1189.1386,1104.8689,1095.5056,1029.9625,1020.5993,973.7828,945.6929,795.8801,664.794,496.2547,477.5281
False,2.0,Орловская область,1,False,25000.0,42000.0,5367.9775,4653.5581,4391.3858,3558.9888,3021.5356,2923.221,2490.6367,1638.5768,1527.1536,1435.3933,1127.3408,1074.9064,1002.809,930.7116,832.397,773.4082,766.8539,720.9738,714.4195,681.6479,661.985,557.1161,465.3558,347.3783,334.2697
False,2.0,Город федерального значения Севастополь,1,False,25000.0,42000.0,5367.9775,4653.5581,4391.3858,3558.9888,3021.5356,2923.221,2490.6367,1638.5768,1527.1536,1435.3933,1127.3408,1074.9064,1002.809,930.7116,832.397,773.4082,766.8539,720.9738,714.4195,681.6479,661.985,557.1161,465.3558,347.3783,334.2697
False,2.0,Белгородская область,2,False,25000.0,80000.0,10224.7191,8863.9201,8364.5443,6779.0262,5755.3059,5568.04,4744.0699,3121.0986,2908.8639,2734.0824,2147.3159,2047.4407,1910.1124,1772.784,1585.5181,1473.1586,1460.6742,1373.2834,1360.799,1298.377,1260.9238,1061.1735,886.392,661.6729,636.7041
False,2.0,Республика Карелия,1,False,25000.0,105000.0,13419.9438,11633.8951,10978.4644,8897.4719,7553.839,7308.0524,6226.5918,4096.4419,3817.8839,3588.4831,2818.3521,2687.2659,2507.0225,2326.779,2080.9925,1933.5206,1917.1348,1802.4345,1786.0487,1704.1199,1654.9625,1392.7903,1163.3895,868.4457,835.6742
False,2.0,Республика Карелия,1,True,6700.0,40000.0,5112.3596,4431.96,4182.2722,3389.5131,2877.6529,2784.02,2372.035,1560.5493,1454.432,1367.0412,1073.6579,1023.7203,955.0562,886.392,792.7591,736.5793,730.3371,686.6417,680.3995,649.1885,630.4619,530.5868,443.196,330.8365,318.3521
False,2.0,Калининградская область,1,False,25000.0,45000.0,5751.4045,4985.9551,4705.0562,3813.2022,3237.3596,3132.0225,2668.5393,1755.618,1636.236,1537.9213,1207.8652,1151.6854,1074.4382,997.191,891.8539,828.6517,821.6292,772.4719,765.4494,730.3371,709.2697,596.9101,498.5955,372.191,358.1461
False,2.0,Карачаево-Черкесская Республика,1,False,25000.0,25000.0,3195.2247,2769.975,2613.9201,2118.4457,1798.5331,1740.0125,1482.5218,975.3433,909.02,854.4007,671.0362,639.8252,596.9101,553.995,495.4744,460.362,456.4607,429.1511,425.2497,405.7428,394.0387,331.6167,276.9975,206.7728,198.97
False,2.0,Кабардино-Балкарская Республика,1,False,17006.0,25000.0,3195.2247,2769.975,2613.9201,2118.4457,1798.5331,1740.0125,1482.5218,975.3433,909.02,854.4007,671.0362,639.8252,596.9101,553.995,495.4744,460.362,456.4607,429.1511,425.2497,405.7428,394.0387,331.6167,276.9975,206.7728,198.97
