is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),Выполнение маневровой работы машинистом метрополитена (1920_28),"Личные установки и ценности, мировоззрение (2043_4)",Исполнение инструкций и правил машинистом метрополитена (1924_28),Управление локомотивами (РЖД) (3677_23),Управление электропоездом метрополитена (1913_28),Обеспечение безопасности перевозок и культуры обслуживания ( машинист метрополитена) (1927_28),Командность (СК) (1371_4),"Знания правил, инструкций машиниста метрополитена (1923_28)",Техническое обслуживание поездов (машинист РЖД) (1848_23),Пунктуальность (СК) (612_4),Высокая работоспособность (СК) (586_4),Выполнение графика движения машистом метрополитена (1921_28),Выполнение маневровой работы (составитель поездов) (3671_23),"Устранение неисправностей, возникших в пути следования (машинист РЖД) (3789_23)",Инициативность (СК) (610_4),Коммуникабельность (СК) (617_4),Знание правил подготовки и управления поездом (машинист РЖД) (3765_23),Контроль за правильностью сцепления поезда с первым вагоном (машинист РЖД) (3788_23)
False,1.0,Республика Мордовия,1,False,26990.5,58000.0,7839.9203,6520.4251,5143.1418,4950.5148,4806.0445,4372.6337,3053.1385,2253.7363,2244.1049,2157.4228,2157.4228,1955.1644,1926.2703,1897.3763,1762.5374,1646.9611,1252.0757,1040.186,1020.9233
False,1.0,Ленинградская область,1,False,25250.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Архангельская область,1,False,25000.0,46950.0,6346.2803,5278.1717,4163.2846,4007.3564,3890.4102,3539.5716,2471.463,1824.3607,1816.5643,1746.3965,1746.3965,1582.6719,1559.2826,1535.8934,1426.7436,1333.1866,1013.5337,842.0126,826.4198
False,1.0,Республика Бурятия,1,False,29500.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Хабаровский край,1,False,25000.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Тюменская область,1,False,25000.0,51250.0,6927.5158,5761.5825,4544.5865,4374.3773,4246.7204,3863.7496,2697.8163,1991.448,1982.9376,1906.3434,1906.3434,1727.6237,1702.0923,1676.5609,1557.4145,1455.2889,1106.36,919.1299,902.1089
False,1.0,Тульская область,1,False,25250.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Калужская область,1,False,25000.0,50000.0,6758.552,5621.0561,4433.7429,4267.6852,4143.1418,3769.5118,2632.0159,1942.8761,1934.5732,1859.8472,1859.8472,1685.4865,1660.5779,1635.6692,1519.4288,1419.7941,1079.3756,896.7121,880.1063
False,1.0,Орловская область,1,False,25000.0,50000.0,6758.552,5621.0561,4433.7429,4267.6852,4143.1418,3769.5118,2632.0159,1942.8761,1934.5732,1859.8472,1859.8472,1685.4865,1660.5779,1635.6692,1519.4288,1419.7941,1079.3756,896.7121,880.1063
False,1.0,Сахалинская область,1,False,25000.0,25000.0,3379.276,2810.5281,2216.8715,2133.8426,2071.5709,1884.7559,1316.008,971.4381,967.2866,929.9236,929.9236,842.7433,830.2889,817.8346,759.7144,709.897,539.6878,448.356,440.0531
