is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4)
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,19000.0,19000.0,7747.1831,6609.8592,4642.9577
False,1.0,Красноярский край,1,False,18048.0,40000.0,16309.8592,13915.493,9774.6479
False,1.0,Астраханская область,1,False,15000.0,15000.0,6116.1972,5218.3099,3665.493
False,1.0,Иркутская область,1,False,35000.0,35000.0,14271.1268,12176.0563,8552.8169
False,1.0,Республика Коми,1,False,50000.0,50000.0,20387.3239,17394.3662,12218.3099
False,1.0,Московская область,2,False,30056.0,45000.0,18348.5915,15654.9296,10996.4789
False,1.0,Город федерального значения Санкт-Петербург,0,False,40000.0,40000.0,16309.8592,13915.493,9774.6479
False,1.0,Тюменская область,1,False,30000.0,40000.0,16309.8592,13915.493,9774.6479
False,1.0,Камчатский край,1,False,55000.0,55000.0,22426.0563,19133.8028,13440.1408
False,1.0,Хабаровский край,1,False,50000.0,50000.0,20387.3239,17394.3662,12218.3099
False,1.0,Приморский край,1,False,30666.0,40000.0,16309.8592,13915.493,9774.6479
False,1.0,Город федерального значения Москва,0,False,85000.0,85000.0,34658.4507,29570.4225,20771.1268
False,1.0,Нижегородская область,0,False,12000.0,30000.0,12232.3944,10436.6197,7330.9859
False,1.0,Калининградская область,1,False,13000.0,13000.0,5300.7042,4522.5352,3176.7606
False,1.0,Алтайский край,2,False,17363.0,17363.0,7079.7021,6040.3676,4242.9303
False,1.0,Брянская область,1,False,30000.0,30000.0,12232.3944,10436.6197,7330.9859
False,1.0,Ульяновская область,1,False,38810.0,47989.0,19567.3458,16694.7648,11726.8894
False,1.0,Томская область,1,False,63000.0,82750.0,33741.0211,28787.6761,20221.3028
False,1.0,Республика Дагестан,1,False,70000.0,70000.0,28542.2535,24352.1127,17105.6338
