is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Покупка и доставка необходимых товаров за счет средств получателя социальных услуг (159_1),Предоставление социальных услуг (183_1),Дисциплинированность (СК) (593_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Помощь в оплате коммунальных и иных услуг за счет средств клиента (158_1),Склонность к здоровому образу жизни (СК) (1662_4),Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Уход за нуждающимися категориями получателей социальных услуг (182_1),Помощь в уборке жилых помещений (166_1)
False,0.0,Челябинская область,0,False,9489.0,35000.0,5171.9331,4228.6245,4049.7212,3919.6097,3610.5948,2651.0223,2342.0074,1919.145,1870.3532,1805.2974,1756.5056,1675.1859
False,0.0,Челябинская область,0,True,16920.0,28525.0,4215.1255,3446.329,3300.5228,3194.4819,2942.6348,2160.5832,1908.7361,1564.1032,1524.3378,1471.3174,1431.552,1365.2765
False,0.0,Республика Татарстан,0,False,9489.0,35000.0,5171.9331,4228.6245,4049.7212,3919.6097,3610.5948,2651.0223,2342.0074,1919.145,1870.3532,1805.2974,1756.5056,1675.1859
False,0.0,Архангельская область,1,False,6902.0,45000.0,6649.6283,5436.803,5206.7844,5039.4981,4642.1933,3408.4572,3011.1524,2467.4721,2404.7398,2321.0967,2258.3643,2153.8104
False,0.0,Архангельская область,1,True,6902.0,22597.0,3339.1478,2730.1208,2614.6157,2530.612,2331.1032,1711.5757,1512.0669,1239.0548,1207.5534,1165.5516,1134.0502,1081.5479
False,0.0,Калининградская область,1,False,12000.0,32500.0,4802.5093,3926.5799,3760.4554,3639.6375,3352.6952,2461.6636,2174.7212,1782.0632,1736.7565,1676.3476,1631.0409,1555.5297
False,0.0,Республика Коми,1,False,12972.0,37356.0,5520.0781,4513.2714,4322.3253,4183.4554,3853.6394,2829.474,2499.658,2048.3309,1996.2546,1926.8197,1874.7435,1787.9498
False,0.0,Республика Коми,1,True,23390.0,28525.0,4215.1255,3446.329,3300.5228,3194.4819,2942.6348,2160.5832,1908.7361,1564.1032,1524.3378,1471.3174,1431.552,1365.2765
False,0.0,Вологодская область,1,False,9489.0,39890.0,5894.526,4819.4238,4615.5251,4467.2351,4115.0465,3021.408,2669.2193,2187.277,2131.6682,2057.5232,2001.9145,1909.2333
False,0.0,Вологодская область,1,True,19944.0,22597.0,3339.1478,2730.1208,2614.6157,2530.612,2331.1032,1711.5757,1512.0669,1239.0548,1207.5534,1165.5516,1134.0502,1081.5479
False,0.0,Воронежская область,2,False,9489.0,40367.0,5965.0121,4877.0539,4670.717,4520.6538,4164.2537,3057.5376,2701.1375,2213.4322,2157.1585,2082.1269,2025.8532,1932.0637
False,0.0,Ленинградская область,1,False,9489.0,35000.0,5171.9331,4228.6245,4049.7212,3919.6097,3610.5948,2651.0223,2342.0074,1919.145,1870.3532,1805.2974,1756.5056,1675.1859
False,0.0,Ленинградская область,1,True,22597.0,22597.0,3339.1478,2730.1208,2614.6157,2530.612,2331.1032,1711.5757,1512.0669,1239.0548,1207.5534,1165.5516,1134.0502,1081.5479
False,0.0,Белгородская область,2,False,12972.0,39900.0,5896.0037,4820.632,4616.6822,4468.355,4116.0781,3022.1654,2669.8885,2187.8253,2132.2026,2058.039,2002.4164,1909.7119
False,0.0,Забайкальский край,1,False,9489.0,28525.0,4215.1255,3446.329,3300.5228,3194.4819,2942.6348,2160.5832,1908.7361,1564.1032,1524.3378,1471.3174,1431.552,1365.2765
False,0.0,Забайкальский край,1,True,17033.0,35832.0,5294.8773,4329.145,4145.9888,4012.7844,3696.4238,2714.0409,2397.6803,1964.7658,1914.8141,1848.2119,1798.2602,1715.0074
False,0.0,Брянская область,1,False,12000.0,28525.0,4215.1255,3446.329,3300.5228,3194.4819,2942.6348,2160.5832,1908.7361,1564.1032,1524.3378,1471.3174,1431.552,1365.2765
False,0.0,Брянская область,1,True,17033.0,21000.0,3103.1599,2537.1747,2429.8327,2351.7658,2166.3569,1590.6134,1405.2045,1151.487,1122.2119,1083.1784,1053.9033,1005.1115
False,0.0,Липецкая область,1,False,12000.0,31087.0,4593.711,3755.8643,3596.9624,3481.3973,3206.9303,2354.638,2080.171,1704.5846,1661.2477,1603.4651,1560.1283,1487.9001
False,0.0,Липецкая область,1,True,22597.0,22597.0,3339.1478,2730.1208,2614.6157,2530.612,2331.1032,1711.5757,1512.0669,1239.0548,1207.5534,1165.5516,1134.0502,1081.5479
False,0.0,Томская область,1,False,9489.0,32000.0,4728.6245,3866.171,3702.6022,3583.6431,3301.1152,2423.7918,2141.2639,1754.6468,1710.0372,1650.5576,1605.948,1531.5985
False,0.0,Томская область,1,True,21115.0,21115.0,3120.1533,2551.0688,2443.1389,2364.6445,2178.2203,1599.3239,1412.8996,1157.7928,1128.3573,1089.1101,1059.6747,1010.6157
