is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Штукатурка (713_10),Укладка плитки (250_10),Нравственность (СК) (622_4),Выполнение ремонтных работ (ОПТ) (8285_36),Высокая работоспособность (СК) (586_4),Коммуникабельность (СК) (617_4),Приготовление штукатурных растворов и смесей (448_10),Ремонт штукатурки (357_10),Трудолюбие (СК) (597_4),Выполнение штукатурки (456_10)
False,0.0,Омская область,1,False,14000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Воронежская область,2,False,14000.0,75000.0,17059.4262,10835.041,7940.5738,6390.8811,4277.6639,4059.9385,3073.7705,3048.1557,2843.2377,2689.5492,2663.9344,2638.3197,2138.832,2087.6025,1933.9139,1319.1598
False,0.0,Ярославская область,1,False,14000.0,75000.0,17059.4262,10835.041,7940.5738,6390.8811,4277.6639,4059.9385,3073.7705,3048.1557,2843.2377,2689.5492,2663.9344,2638.3197,2138.832,2087.6025,1933.9139,1319.1598
False,0.0,Калужская область,1,False,15000.0,43500.0,9894.4672,6284.3238,4605.5328,3706.7111,2481.0451,2354.7643,1782.7869,1767.9303,1649.0779,1559.9385,1545.082,1530.2254,1240.5225,1210.8094,1121.6701,765.1127
False,0.0,Тюменская область,1,False,14000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Новосибирская область,0,False,14000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Новосибирская область,0,True,43500.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Архангельская область,1,False,15000.0,45000.0,10235.6557,6501.0246,4764.3443,3834.5287,2566.5984,2435.9631,1844.2623,1828.8934,1705.9426,1613.7295,1598.3607,1582.9918,1283.2992,1252.5615,1160.3484,791.4959
False,0.0,Тульская область,1,False,14000.0,45000.0,10235.6557,6501.0246,4764.3443,3834.5287,2566.5984,2435.9631,1844.2623,1828.8934,1705.9426,1613.7295,1598.3607,1582.9918,1283.2992,1252.5615,1160.3484,791.4959
False,0.0,Пермский край,1,False,17000.0,70000.0,15922.1311,10112.7049,7411.2022,5964.8224,3992.4863,3789.276,2868.8525,2844.9454,2653.6885,2510.2459,2486.3388,2462.4317,1996.2432,1948.429,1804.9863,1231.2158
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,18000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
