is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение конструктивных расчетов (5545_35),Знание компьютерных программ (3753_35),Внимательность (СК) (536_4),Разработка рабочей конструкторской документации (5537_35),Знания SCAD (5251_10),Английский язык (ЯС) (1918_32),Разработка проектной документации (5541_35),Навыки трехмерного моделирования (5475_35),Умение работать в САПР (5244_35),"Саморазвитие, обучаемость (СК) (604_4)",Знание нормативной и методической документации (4566_35),Командность (СК) (1371_4),Подготовка чертежей по специальности или профилю работы (7181_10),"Организаторские способности, лидерство (СК) (393_4)",Коммуникабельность (СК) (617_4),Руководство конструкторским отделом (5674_35),Кропотливость (СК) (623_4),Разработка технических заданий (5551_35),Руководство проектными работами (6044_35),Разработка конструкторской документации (7077_10),Конструкторское сопровождение опытного и серийного производства (5518_35),Проверка проектной и конструкторской документации (5652_35),Стрессоустойчивость (СК) (601_4),Чтение схем/чертежей (ОПТ) (3032_36),Аккуратность (СК) (575_4),Согласование конструкторской документации (5543_35),Знание ЕСКД (7062_10),Навык работы с офисными компьютерными программами (5249_35)
False,2.0,Республика Татарстан,0,False,20018.25,200000.0,40181.6118,19659.4779,12304.1998,11940.9762,10760.4994,10533.4847,9670.8286,7446.084,6265.6073,5539.16,4994.3246,4404.0863,4177.0715,4086.2656,3723.042,3314.4154,3178.2066,3132.8036,3087.4007,3041.9977,2905.7889,2860.3859,2814.983,2814.983,2587.9682,2497.1623,2451.7594,2406.3564,2406.3564,2406.3564,2406.3564
False,2.0,Республика Татарстан,0,True,30000.0,80000.0,16072.6447,7863.7911,4921.6799,4776.3905,4304.1998,4213.3939,3868.3314,2978.4336,2506.2429,2215.664,1997.7299,1761.6345,1670.8286,1634.5062,1489.2168,1325.7662,1271.2826,1253.1215,1234.9603,1216.7991,1162.3156,1144.1544,1125.9932,1125.9932,1035.1873,998.8649,980.7037,962.5426,962.5426,962.5426,962.5426
False,2.0,Тверская область,1,False,20000.0,100000.0,20090.8059,9829.7389,6152.0999,5970.4881,5380.2497,5266.7423,4835.4143,3723.042,3132.8036,2769.58,2497.1623,2202.0431,2088.5358,2043.1328,1861.521,1657.2077,1589.1033,1566.4018,1543.7003,1520.9989,1452.8944,1430.193,1407.4915,1407.4915,1293.9841,1248.5812,1225.8797,1203.1782,1203.1782,1203.1782,1203.1782
False,2.0,Новосибирская область,0,False,28461.25,130000.0,26118.0477,12778.6606,7997.7299,7761.6345,6994.3246,6846.765,6286.0386,4839.9546,4072.6447,3600.454,3246.311,2862.6561,2715.0965,2656.0726,2419.9773,2154.37,2065.8343,2036.3224,2006.8104,1977.2985,1888.7628,1859.2509,1829.7389,1829.7389,1682.1793,1623.1555,1593.6436,1564.1317,1564.1317,1564.1317,1564.1317
False,2.0,Новосибирская область,0,True,30000.0,70000.0,14063.5641,6880.8173,4306.4699,4179.3417,3766.1748,3686.7196,3384.79,2606.1294,2192.9625,1938.706,1748.0136,1541.4302,1461.975,1430.193,1303.0647,1160.0454,1112.3723,1096.4813,1080.5902,1064.6992,1017.0261,1001.1351,985.244,985.244,905.7889,874.0068,858.1158,842.2247,842.2247,842.2247,842.2247
False,2.0,Пермский край,1,False,20000.0,160000.0,32145.2894,15727.5823,9843.3598,9552.7809,8608.3995,8426.7877,7736.6629,5956.8672,5012.4858,4431.328,3995.4597,3523.269,3341.6572,3269.0125,2978.4336,2651.5323,2542.5653,2506.2429,2469.9205,2433.5982,2324.6311,2288.3087,2251.9864,2251.9864,2070.3746,1997.7299,1961.4075,1925.0851,1925.0851,1925.0851,1925.0851
False,2.0,Ростовская область,0,False,20000.0,130000.0,26118.0477,12778.6606,7997.7299,7761.6345,6994.3246,6846.765,6286.0386,4839.9546,4072.6447,3600.454,3246.311,2862.6561,2715.0965,2656.0726,2419.9773,2154.37,2065.8343,2036.3224,2006.8104,1977.2985,1888.7628,1859.2509,1829.7389,1829.7389,1682.1793,1623.1555,1593.6436,1564.1317,1564.1317,1564.1317,1564.1317
False,2.0,Нижегородская область,0,False,20000.0,120000.0,24108.9671,11795.6867,7382.5199,7164.5857,6456.2997,6320.0908,5802.4972,4467.6504,3759.3644,3323.496,2996.5948,2642.4518,2506.2429,2451.7594,2233.8252,1988.6493,1906.924,1879.6822,1852.4404,1825.1986,1743.4733,1716.2316,1688.9898,1688.9898,1552.7809,1498.2974,1471.0556,1443.8138,1443.8138,1443.8138,1443.8138
False,2.0,Нижегородская область,0,True,60000.0,60000.0,12054.4835,5897.8434,3691.2599,3582.2928,3228.1498,3160.0454,2901.2486,2233.8252,1879.6822,1661.748,1498.2974,1321.2259,1253.1215,1225.8797,1116.9126,994.3246,953.462,939.8411,926.2202,912.5993,871.7367,858.1158,844.4949,844.4949,776.3905,749.1487,735.5278,721.9069,721.9069,721.9069,721.9069
False,2.0,Калужская область,1,False,28461.25,120000.0,24108.9671,11795.6867,7382.5199,7164.5857,6456.2997,6320.0908,5802.4972,4467.6504,3759.3644,3323.496,2996.5948,2642.4518,2506.2429,2451.7594,2233.8252,1988.6493,1906.924,1879.6822,1852.4404,1825.1986,1743.4733,1716.2316,1688.9898,1688.9898,1552.7809,1498.2974,1471.0556,1443.8138,1443.8138,1443.8138,1443.8138
