is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",ЖКХа общие фразы (2155_29),ЖКХа техническое обслуживание электротехнического оборудования (2792_29),Выполнение ремонтных работ (ОПТ) (8285_36),ЖКХа ремонт электрооборудования (2558_29),ЖКХа техническое обслуживание электрической части (2669_29),ЖКХа общие фразы по обслуживанию и ремонту узлов/оборудования (3803_29),"ЖКХа Заземление и зануление, проверка изоляции (2658_29)",Пунктуальность (СК) (612_4),"ЖКХа монтаж, ремонт и обслуживание  электрических сетей и оборудования (2150_29)",Аккуратность (СК) (575_4),Внимательность (СК) (536_4),ЖКХ общепрофессиональные знания по электрике (2153_29),ЖКХа монтаж электро оборудования (2503_29),ЖКХа Контроль за работой оборудования (3901_29),ЖКХа Умение читать электрические схемы (3681_29),ЖКХа Техническое обслуживание электрических машин (4101_29),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),"ЖКХа Сборка, обслуживание и ремонт узлов электрических сетей и оборудования (2151_29)"
False,1.0,Город федерального значения Севастополь,1,False,12000.0,31500.0,6543.5737,4588.4013,3614.1066,2718.8088,2172.4138,1645.768,1586.5204,1336.3636,1020.3762,645.1411,638.558,618.8088,572.7273,572.7273,552.9781,552.9781,506.8966,467.3981,441.0658,355.4859,348.9028
False,1.0,Кировская область,1,False,13150.0,90000.0,18695.9248,13109.7179,10326.0188,7768.0251,6206.8966,4702.1944,4532.9154,3818.1818,2915.3605,1843.2602,1824.4514,1768.0251,1636.3636,1636.3636,1579.9373,1579.9373,1448.2759,1335.4232,1260.1881,1015.674,996.8652
False,1.0,Кировская область,1,True,16000.0,16000.0,3323.72,2330.6165,1835.7367,1380.9822,1103.4483,835.9457,805.8516,678.7879,518.2863,327.6907,324.3469,314.3156,290.9091,290.9091,280.8777,280.8777,257.4713,237.4086,224.0334,180.5643,177.2205
False,1.0,Чувашская Республика,1,False,13150.0,40000.0,8309.2999,5826.5413,4589.3417,3452.4556,2758.6207,2089.8642,2014.629,1696.9697,1295.7158,819.2268,810.8673,785.7889,727.2727,727.2727,702.1944,702.1944,643.6782,593.5214,560.0836,451.4107,443.0512
False,1.0,Липецкая область,1,False,12000.0,40000.0,8309.2999,5826.5413,4589.3417,3452.4556,2758.6207,2089.8642,2014.629,1696.9697,1295.7158,819.2268,810.8673,785.7889,727.2727,727.2727,702.1944,702.1944,643.6782,593.5214,560.0836,451.4107,443.0512
False,1.0,Липецкая область,1,True,23000.0,23000.0,4777.8474,3350.2612,2638.8715,1985.162,1586.2069,1201.6719,1158.4117,975.7576,745.0366,471.0554,466.2487,451.8286,418.1818,418.1818,403.7618,403.7618,370.1149,341.2748,322.0481,259.5611,254.7544
False,1.0,Республика Северная Осетия,1,False,16000.0,31500.0,6543.5737,4588.4013,3614.1066,2718.8088,2172.4138,1645.768,1586.5204,1336.3636,1020.3762,645.1411,638.558,618.8088,572.7273,572.7273,552.9781,552.9781,506.8966,467.3981,441.0658,355.4859,348.9028
False,1.0,Херсонская область,1,False,13150.0,18000.0,3739.185,2621.9436,2065.2038,1553.605,1241.3793,940.4389,906.5831,763.6364,583.0721,368.652,364.8903,353.605,327.2727,327.2727,315.9875,315.9875,289.6552,267.0846,252.0376,203.1348,199.373
False,1.0,"иные территории, включая город и космодром Байконур",1,False,21681.0,21681.0,4503.8483,3158.131,2487.5379,1871.3172,1495.2414,1132.7586,1091.9793,919.8,702.3103,444.0414,439.5103,425.9172,394.2,394.2,380.6069,380.6069,348.8897,321.7034,303.5793,244.6759,240.1448
False,1.0,Ленинградская область,1,False,15000.0,75000.0,15579.9373,10924.7649,8605.0157,6473.3542,5172.4138,3918.4953,3777.4295,3181.8182,2429.4671,1536.0502,1520.3762,1473.3542,1363.6364,1363.6364,1316.6144,1316.6144,1206.8966,1112.8527,1050.1567,846.395,830.721
False,1.0,Республика Башкортостан,0,False,15000.0,120000.0,24927.8997,17479.6238,13768.0251,10357.3668,8275.8621,6269.5925,6043.8871,5090.9091,3887.1473,2457.6803,2432.6019,2357.3668,2181.8182,2181.8182,2106.5831,2106.5831,1931.0345,1780.5643,1680.2508,1354.232,1329.1536
False,1.0,Республика Башкортостан,0,True,18000.0,24604.25,5111.1023,3583.942,2822.9328,2123.627,1696.8448,1285.4885,1239.2109,1043.8167,797.0029,503.9115,498.7695,483.3437,447.35,447.35,431.9241,431.9241,395.9305,365.0787,344.5109,277.6655,272.5236
False,1.0,Воронежская область,2,False,15000.0,90000.0,18695.9248,13109.7179,10326.0188,7768.0251,6206.8966,4702.1944,4532.9154,3818.1818,2915.3605,1843.2602,1824.4514,1768.0251,1636.3636,1636.3636,1579.9373,1579.9373,1448.2759,1335.4232,1260.1881,1015.674,996.8652
False,1.0,Новосибирская область,0,False,15000.0,140000.0,29082.5496,20392.8945,16062.6959,12083.5946,9655.1724,7314.5246,7051.2017,5939.3939,4535.0052,2867.2936,2838.0355,2750.2612,2545.4545,2545.4545,2457.6803,2457.6803,2252.8736,2077.325,1960.2926,1579.9373,1550.6792
False,1.0,Новгородская область,1,False,18000.0,39243.5,8152.1503,5716.3468,4502.5458,3387.161,2706.4483,2050.3396,1976.5274,1664.8758,1271.2106,803.7331,795.5318,770.9277,713.5182,713.5182,688.9141,688.9141,631.5046,582.2964,549.491,442.8734,434.672
False,1.0,Кемеровская область,1,False,15000.0,90000.0,18695.9248,13109.7179,10326.0188,7768.0251,6206.8966,4702.1944,4532.9154,3818.1818,2915.3605,1843.2602,1824.4514,1768.0251,1636.3636,1636.3636,1579.9373,1579.9373,1448.2759,1335.4232,1260.1881,1015.674,996.8652
False,1.0,Кемеровская область,1,True,15000.0,24604.25,5111.1023,3583.942,2822.9328,2123.627,1696.8448,1285.4885,1239.2109,1043.8167,797.0029,503.9115,498.7695,483.3437,447.35,447.35,431.9241,431.9241,395.9305,365.0787,344.5109,277.6655,272.5236
False,1.0,Свердловская область,0,False,12000.0,80000.0,16618.5998,11653.0825,9178.6834,6904.9112,5517.2414,4179.7283,4029.2581,3393.9394,2591.4316,1638.4535,1621.7346,1571.5778,1454.5455,1454.5455,1404.3887,1404.3887,1287.3563,1187.0428,1120.1672,902.8213,886.1024
False,1.0,Свердловская область,0,True,12000.0,29639.0,6156.9835,4317.3214,3400.5875,2558.1833,2044.069,1548.5371,1492.7898,1257.4121,960.093,607.0265,600.8324,582.2499,538.8909,538.8909,520.3085,520.3085,476.9494,439.7845,415.0079,334.484,328.2899
False,1.0,Тульская область,1,False,15000.0,45000.0,9347.9624,6554.8589,5163.0094,3884.0125,3103.4483,2351.0972,2266.4577,1909.0909,1457.6803,921.6301,912.2257,884.0125,818.1818,818.1818,789.9687,789.9687,724.1379,667.7116,630.094,507.837,498.4326
False,1.0,Оренбургская область,2,False,15000.0,56000.0,11633.0199,8157.1578,6425.0784,4833.4378,3862.069,2925.8098,2820.4807,2375.7576,1814.0021,1146.9175,1135.2142,1100.1045,1018.1818,1018.1818,983.0721,983.0721,901.1494,830.93,784.117,631.9749,620.2717
False,1.0,Калужская область,1,False,15000.0,100000.0,20773.2497,14566.3532,11473.3542,8631.139,6896.5517,5224.6604,5036.5726,4242.4242,3239.2894,2048.0669,2027.1682,1964.4723,1818.1818,1818.1818,1755.4859,1755.4859,1609.1954,1483.8036,1400.209,1128.5266,1107.628
False,1.0,Владимирская область,1,False,15000.0,56000.0,11633.0199,8157.1578,6425.0784,4833.4378,3862.069,2925.8098,2820.4807,2375.7576,1814.0021,1146.9175,1135.2142,1100.1045,1018.1818,1018.1818,983.0721,983.0721,901.1494,830.93,784.117,631.9749,620.2717
False,1.0,Ростовская область,0,False,15000.0,140000.0,29082.5496,20392.8945,16062.6959,12083.5946,9655.1724,7314.5246,7051.2017,5939.3939,4535.0052,2867.2936,2838.0355,2750.2612,2545.4545,2545.4545,2457.6803,2457.6803,2252.8736,2077.325,1960.2926,1579.9373,1550.6792
False,1.0,Ростовская область,0,True,22000.0,25000.0,5193.3124,3641.5883,2868.3386,2157.7847,1724.1379,1306.1651,1259.1432,1060.6061,809.8224,512.0167,506.7921,491.1181,454.5455,454.5455,438.8715,438.8715,402.2989,370.9509,350.0522,282.1317,276.907
False,1.0,Алтайский край,2,False,15000.0,56000.0,11633.0199,8157.1578,6425.0784,4833.4378,3862.069,2925.8098,2820.4807,2375.7576,1814.0021,1146.9175,1135.2142,1100.1045,1018.1818,1018.1818,983.0721,983.0721,901.1494,830.93,784.117,631.9749,620.2717
False,1.0,Республика Мордовия,1,False,17000.0,45000.0,9347.9624,6554.8589,5163.0094,3884.0125,3103.4483,2351.0972,2266.4577,1909.0909,1457.6803,921.6301,912.2257,884.0125,818.1818,818.1818,789.9687,789.9687,724.1379,667.7116,630.094,507.837,498.4326
False,1.0,Тверская область,1,False,15000.0,56000.0,11633.0199,8157.1578,6425.0784,4833.4378,3862.069,2925.8098,2820.4807,2375.7576,1814.0021,1146.9175,1135.2142,1100.1045,1018.1818,1018.1818,983.0721,983.0721,901.1494,830.93,784.117,631.9749,620.2717
False,1.0,Челябинская область,0,False,15000.0,110000.0,22850.5747,16022.9885,12620.6897,9494.2529,7586.2069,5747.1264,5540.2299,4666.6667,3563.2184,2252.8736,2229.8851,2160.9195,2000.0,2000.0,1931.0345,1931.0345,1770.1149,1632.1839,1540.2299,1241.3793,1218.3908
False,1.0,Брянская область,1,False,15000.0,56000.0,11633.0199,8157.1578,6425.0784,4833.4378,3862.069,2925.8098,2820.4807,2375.7576,1814.0021,1146.9175,1135.2142,1100.1045,1018.1818,1018.1818,983.0721,983.0721,901.1494,830.93,784.117,631.9749,620.2717
False,1.0,Вологодская область,1,False,17000.0,56000.0,11633.0199,8157.1578,6425.0784,4833.4378,3862.069,2925.8098,2820.4807,2375.7576,1814.0021,1146.9175,1135.2142,1100.1045,1018.1818,1018.1818,983.0721,983.0721,901.1494,830.93,784.117,631.9749,620.2717
False,1.0,Астраханская область,1,False,15000.0,39243.5,8152.1503,5716.3468,4502.5458,3387.161,2706.4483,2050.3396,1976.5274,1664.8758,1271.2106,803.7331,795.5318,770.9277,713.5182,713.5182,688.9141,688.9141,631.5046,582.2964,549.491,442.8734,434.672
