is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Грамотность (СК) (1368_4),Внимательность (СК) (536_4),Содействие в консультировании по вопросам социальной защиты (277_1),"Саморазвитие, обучаемость (СК) (604_4)","Определение объема и форм социальной помощи, методов и технологий социальной работы (407_1)",Работа с информацией (356_1),Предоставление социальных услуг (183_1)
False,0.0,Пермский край,1,False,12225.0,28000.0,5541.4488,4265.8701,4203.1367,3073.9358,2383.8686,1421.9567,1401.0456,1401.0456,1108.2898,1066.4675,1066.4675,1066.4675
False,0.0,Пермский край,1,True,16400.0,16400.0,3245.7058,2498.581,2461.8372,1800.4481,1396.2659,832.8603,820.6124,820.6124,649.1412,624.6453,624.6453,624.6453
False,0.0,Чеченская Республика,1,False,15300.0,18000.0,3562.36,2742.345,2702.0164,1976.1016,1532.4869,914.115,900.6721,900.6721,712.472,685.5863,685.5863,685.5863
False,0.0,Республика Крым,1,False,13890.0,60000.0,11874.5332,9141.1501,9006.7214,6587.0052,5108.2898,3047.05,3002.2405,3002.2405,2374.9066,2285.2875,2285.2875,2285.2875
False,0.0,Республика Крым,1,True,13890.0,13890.0,2748.9544,2116.1763,2085.056,1524.8917,1182.5691,705.3921,695.0187,695.0187,549.7909,529.0441,529.0441,529.0441
False,0.0,Республика Калмыкия,1,False,15300.0,18000.0,3562.36,2742.345,2702.0164,1976.1016,1532.4869,914.115,900.6721,900.6721,712.472,685.5863,685.5863,685.5863
False,0.0,Карачаево-Черкесская Республика,1,False,15300.0,15300.0,3028.006,2330.9933,2296.714,1679.6863,1302.6139,776.9978,765.5713,765.5713,605.6012,582.7483,582.7483,582.7483
False,0.0,Карачаево-Черкесская Республика,1,True,15300.0,15300.0,3028.006,2330.9933,2296.714,1679.6863,1302.6139,776.9978,765.5713,765.5713,605.6012,582.7483,582.7483,582.7483
False,0.0,Кабардино-Балкарская Республика,1,False,16242.0,16242.0,3214.4361,2474.5093,2438.1195,1783.1023,1382.814,824.8364,812.7065,812.7065,642.8872,618.6273,618.6273,618.6273
False,0.0,Свердловская область,0,False,10600.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Свердловская область,0,True,22224.0,22224.0,4398.3271,3385.882,3336.0896,2439.8267,1892.1105,1128.6273,1112.0299,1112.0299,879.6654,846.4705,846.4705,846.4705
False,0.0,Московская область,2,False,10600.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Московская область,2,True,22224.0,22224.0,4398.3271,3385.882,3336.0896,2439.8267,1892.1105,1128.6273,1112.0299,1112.0299,879.6654,846.4705,846.4705,846.4705
False,0.0,Приморский край,1,False,14075.0,33000.0,6530.9933,5027.6326,4953.6968,3622.8529,2809.5594,1675.8775,1651.2323,1651.2323,1306.1987,1256.9081,1256.9081,1256.9081
False,0.0,Красноярский край,1,False,12250.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Красноярский край,1,True,22224.0,25597.5,5065.9727,3899.8432,3842.4925,2810.1811,2179.3241,1299.9477,1280.8308,1280.8308,1013.1945,974.9608,974.9608,974.9608
False,0.0,Республика Коми,1,False,10600.0,42100.0,8331.9642,6414.0403,6319.7162,4621.882,3584.3167,2138.0134,2106.5721,2106.5721,1666.3928,1603.5101,1603.5101,1603.5101
False,0.0,Республика Карелия,1,False,10600.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Республика Карелия,1,True,20407.0,22224.0,4398.3271,3385.882,3336.0896,2439.8267,1892.1105,1128.6273,1112.0299,1112.0299,879.6654,846.4705,846.4705,846.4705
False,0.0,Хабаровский край,1,False,12250.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Новосибирская область,0,False,10600.0,42000.0,8312.1733,6398.8051,6304.705,4610.9037,3575.8028,2132.935,2101.5683,2101.5683,1662.4347,1599.7013,1599.7013,1599.7013
False,0.0,Тульская область,1,False,10600.0,32837.0,6498.7341,5002.7991,4929.2285,3604.9582,2795.6819,1667.5997,1643.0762,1643.0762,1299.7468,1250.6998,1250.6998,1250.6998
False,0.0,Республика Татарстан,0,False,10600.0,43000.0,8510.0822,6551.1576,6454.817,4720.6871,3660.941,2183.7192,2151.6057,2151.6057,1702.0164,1637.7894,1637.7894,1637.7894
False,0.0,Забайкальский край,1,False,10600.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Забайкальский край,1,True,13000.0,22224.0,4398.3271,3385.882,3336.0896,2439.8267,1892.1105,1128.6273,1112.0299,1112.0299,879.6654,846.4705,846.4705,846.4705
False,0.0,Архангельская область,1,False,12250.0,33800.0,6689.3204,5149.5146,5073.7864,3710.6796,2877.6699,1716.5049,1691.2621,1691.2621,1337.8641,1287.3786,1287.3786,1287.3786
False,0.0,Иркутская область,1,False,14965.0,51000.0,10093.3532,7769.9776,7655.7132,5598.9544,4342.0463,2589.9925,2551.9044,2551.9044,2018.6706,1942.4944,1942.4944,1942.4944
False,0.0,Иркутская область,1,True,20656.0,22224.0,4398.3271,3385.882,3336.0896,2439.8267,1892.1105,1128.6273,1112.0299,1112.0299,879.6654,846.4705,846.4705,846.4705
False,0.0,Ленинградская область,1,False,14965.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,0.0,Еврейская автономная область,1,False,17356.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,0.0,Республика Бурятия,1,False,14965.0,30975.0,6130.2278,4719.1187,4649.7199,3400.5414,2637.1546,1573.0396,1549.9066,1549.9066,1226.0456,1179.7797,1179.7797,1179.7797
False,0.0,Амурская область,1,False,18195.0,25988.0,5143.2562,3959.3368,3901.1113,2853.0515,2212.5706,1319.7789,1300.3704,1300.3704,1028.6512,989.8342,989.8342,989.8342
False,0.0,Республика Хакасия,1,False,20000.0,39133.0,7744.7685,5962.0105,5874.3338,4296.1546,3331.7117,1987.3368,1958.1113,1958.1113,1548.9537,1490.5026,1490.5026,1490.5026
False,0.0,Республика Тыва,1,False,20407.0,25000.0,4947.7222,3808.8125,3752.8006,2744.5855,2128.4541,1269.6042,1250.9335,1250.9335,989.5444,952.2031,952.2031,952.2031
False,0.0,Мурманская область,1,False,20394.0,50000.0,9895.4444,7617.6251,7505.6012,5489.171,4256.9081,2539.2084,2501.8671,2501.8671,1979.0889,1904.4063,1904.4063,1904.4063
False,0.0,Мурманская область,1,True,28000.0,28000.0,5541.4488,4265.8701,4203.1367,3073.9358,2383.8686,1421.9567,1401.0456,1401.0456,1108.2898,1066.4675,1066.4675,1066.4675
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,20394.0,44100.0,8727.7819,6718.7453,6619.9403,4841.4488,3754.593,2239.5818,2206.6468,2206.6468,1745.5564,1679.6863,1679.6863,1679.6863
False,0.0,Камчатский край,1,False,25000.0,42229.0,8357.4944,6433.6938,6339.0807,4636.0441,3595.2995,2144.5646,2113.0269,2113.0269,1671.4989,1608.4235,1608.4235,1608.4235
False,0.0,Ненецкий автономный округ,1,False,31055.5,31055.5,6146.1594,4731.3831,4661.804,3409.379,2644.0082,1577.1277,1553.9347,1553.9347,1229.2319,1182.8458,1182.8458,1182.8458
False,0.0,Ямало-Ненецкий автономный округ,1,False,29629.0,54410.0,10768.2226,8289.4996,8167.5952,5973.3159,4632.3674,2763.1665,2722.5317,2722.5317,2153.6445,2072.3749,2072.3749,2072.3749
False,0.0,Магаданская область,1,False,27000.0,53058.0,10500.6497,8083.519,7964.6438,5824.8887,4517.2606,2694.5063,2654.8813,2654.8813,2100.1299,2020.8798,2020.8798,2020.8798
False,0.0,Республика Саха (Якутия),1,False,40000.0,40000.0,7916.3555,6094.1001,6004.481,4391.3368,3405.5265,2031.3667,2001.4937,2001.4937,1583.2711,1523.525,1523.525,1523.525
False,0.0,Чукотский автономный округ,1,False,40000.0,40000.0,7916.3555,6094.1001,6004.481,4391.3368,3405.5265,2031.3667,2001.4937,2001.4937,1583.2711,1523.525,1523.525,1523.525
False,0.0,Сахалинская область,1,False,20000.0,40000.0,7916.3555,6094.1001,6004.481,4391.3368,3405.5265,2031.3667,2001.4937,2001.4937,1583.2711,1523.525,1523.525,1523.525
False,1.0,Город федерального значения Москва,0,False,18600.0,60000.0,11874.5332,9141.1501,9006.7214,6587.0052,5108.2898,3047.05,3002.2405,3002.2405,2374.9066,2285.2875,2285.2875,2285.2875
False,1.0,Город федерального значения Москва,0,True,40000.0,40000.0,7916.3555,6094.1001,6004.481,4391.3368,3405.5265,2031.3667,2001.4937,2001.4937,1583.2711,1523.525,1523.525,1523.525
False,1.0,Республика Башкортостан,0,False,11163.0,35000.0,6926.8111,5332.3376,5253.9208,3842.4197,2979.8357,1777.4459,1751.3069,1751.3069,1385.3622,1333.0844,1333.0844,1333.0844
False,1.0,Город федерального значения Санкт-Петербург,0,False,15000.0,51000.0,10093.3532,7769.9776,7655.7132,5598.9544,4342.0463,2589.9925,2551.9044,2551.9044,2018.6706,1942.4944,1942.4944,1942.4944
False,1.0,Город федерального значения Санкт-Петербург,0,True,24400.0,25000.0,4947.7222,3808.8125,3752.8006,2744.5855,2128.4541,1269.6042,1250.9335,1250.9335,989.5444,952.2031,952.2031,952.2031
