is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ по осмотру (2683_23),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),"Выполнение работ по регулировке, выправке и промерам (2998_23)",Внимательность (СК) (536_4),Пунктуальность (СК) (612_4),Коммуникабельность (СК) (617_4),Трудолюбие (СК) (597_4),Командность (СК) (1371_4),Выполнение работ по очистке (2992_23),Выполнение ремонтных работ (ОПТ) (8285_36),Выполнение работ по ремонту и текущему содержанию ВСП (РЖД) (замена ВСП) (2684_23),Высокая работоспособность (СК) (586_4),Выполнение погрузо-разгрузочных работ (2986_23),"Саморазвитие, обучаемость (СК) (604_4)",Знания по выполнению работ по ремонту и текущему содержанию железнодорожного пути (РЖД) (1776_23),Сборка и разборка промежуточных и стыковых рельсовых скреплений (Текущее содержаниеРЖД) (3755_23)
False,0.0,Кемеровская область,1,False,16000.0,68000.0,14805.3625,10399.2056,9690.1688,7934.4588,2836.147,2295.9285,2262.1648,2228.4012,2110.2284,2059.5829,1958.292,1485.6008,1401.1917,1299.9007,1198.6097,1080.4369,1046.6733,1012.9096,894.7368
False,0.0,Тамбовская область,2,False,18000.0,59000.0,12845.8292,9022.8401,8407.6465,6884.3098,2460.7746,1992.0556,1962.7607,1933.4657,1830.9335,1786.9911,1699.1063,1288.9772,1215.7398,1127.855,1039.9702,937.4379,908.143,878.8481,776.3158
False,0.0,Тамбовская область,2,True,26000.0,26000.0,5660.8739,3976.1668,3705.0645,3033.7637,1084.4091,877.855,864.9454,852.0357,806.852,787.4876,748.7587,568.0238,535.7498,497.0209,458.292,413.1082,400.1986,387.289,342.1053
False,0.0,Пензенская область,1,False,16000.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Республика Бурятия,1,False,18000.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Самарская область,0,False,16000.0,48300.0,10516.1619,7386.4945,6882.8699,5635.7994,2014.4985,1630.7845,1606.8024,1582.8203,1498.8828,1462.9096,1390.9633,1055.2135,995.2582,923.3118,851.3654,767.428,743.4459,719.4638,635.5263
False,0.0,Ростовская область,0,False,16000.0,43120.0,9388.3416,6594.3198,6144.7071,5031.3803,1798.4508,1455.8888,1434.4786,1413.0685,1338.1331,1306.0179,1241.7875,942.0457,888.5204,824.29,760.0596,685.1241,663.714,642.3039,567.3684
False,0.0,Ленинградская область,1,False,16000.0,50000.0,10886.2959,7646.4747,7125.1241,5834.1609,2085.4022,1688.1827,1663.3565,1638.5303,1551.6385,1514.3992,1439.9206,1092.3535,1030.288,955.8093,881.3307,794.4389,769.6127,744.7865,657.8947
False,0.0,Кабардино-Балкарская Республика,1,False,16000.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Астраханская область,1,False,16242.0,40000.0,8709.0367,6117.1797,5700.0993,4667.3287,1668.3217,1350.5462,1330.6852,1310.8242,1241.3108,1211.5194,1151.9364,873.8828,824.2304,764.6475,705.0645,635.5511,615.6902,595.8292,526.3158
False,0.0,Ставропольский край,2,False,23000.0,32000.0,6967.2294,4893.7438,4560.0794,3733.863,1334.6574,1080.4369,1064.5482,1048.6594,993.0487,969.2155,921.5492,699.1063,659.3843,611.718,564.0516,508.4409,492.5521,476.6634,421.0526
False,0.0,Город федерального значения Севастополь,1,False,22277.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Республика Крым,1,False,21734.0,36576.5,7963.6521,5593.6256,5212.2421,4267.8637,1525.5343,1234.9563,1216.7952,1198.6341,1135.0701,1107.8285,1053.3451,799.0894,753.6866,699.2032,644.7198,581.1559,562.9948,544.8337,481.2697
False,0.0,Республика Дагестан,1,False,30000.0,30000.0,6531.7776,4587.8848,4275.0745,3500.4965,1251.2413,1012.9096,998.0139,983.1182,930.9831,908.6395,863.9523,655.4121,618.1728,573.4856,528.7984,476.6634,461.7676,446.8719,394.7368
False,0.0,Тюменская область,1,False,19300.0,50000.0,10886.2959,7646.4747,7125.1241,5834.1609,2085.4022,1688.1827,1663.3565,1638.5303,1551.6385,1514.3992,1439.9206,1092.3535,1030.288,955.8093,881.3307,794.4389,769.6127,744.7865,657.8947
False,0.0,Белгородская область,2,False,21000.0,41000.0,8926.7627,6270.1092,5842.6018,4784.0119,1710.0298,1384.3098,1363.9523,1343.5948,1272.3436,1241.8073,1180.7349,895.7299,844.8361,783.7637,722.6912,651.4399,631.0824,610.7249,539.4737
False,0.0,Костромская область,1,False,19300.0,43500.0,9471.0775,6652.433,6198.858,5075.72,1814.2999,1468.719,1447.1202,1425.5214,1349.9255,1317.5273,1252.7309,950.3476,896.3505,831.5541,766.7577,691.1619,669.5631,647.9643,572.3684
False,0.0,Красноярский край,1,False,15775.0,68000.0,14805.3625,10399.2056,9690.1688,7934.4588,2836.147,2295.9285,2262.1648,2228.4012,2110.2284,2059.5829,1958.292,1485.6008,1401.1917,1299.9007,1198.6097,1080.4369,1046.6733,1012.9096,894.7368
False,0.0,Омская область,1,False,15775.0,32100.0,6989.002,4909.0367,4574.3297,3745.5313,1338.8282,1083.8133,1067.8749,1051.9364,996.1519,972.2443,924.429,701.291,661.4449,613.6296,565.8143,510.0298,494.0914,478.1529,422.3684
False,0.0,Новгородская область,1,False,19500.0,27000.0,5878.5998,4129.0963,3847.567,3150.4469,1126.1172,911.6187,898.2125,884.8064,837.8848,817.7756,777.5571,589.8709,556.3555,516.137,475.9186,428.997,415.5909,402.1847,355.2632
False,0.0,Новосибирская область,0,False,19300.0,52000.0,11321.7478,7952.3337,7410.1291,6067.5273,2168.8183,1755.71,1729.8908,1704.0715,1613.7041,1574.9752,1497.5174,1136.0477,1071.4995,994.0417,916.5839,826.2165,800.3972,774.578,684.2105
False,0.0,Ивановская область,1,False,15775.0,50000.0,10886.2959,7646.4747,7125.1241,5834.1609,2085.4022,1688.1827,1663.3565,1638.5303,1551.6385,1514.3992,1439.9206,1092.3535,1030.288,955.8093,881.3307,794.4389,769.6127,744.7865,657.8947
False,0.0,Архангельская область,1,False,15775.0,62000.0,13499.007,9481.6286,8835.1539,7234.3595,2585.8987,2093.3466,2062.5621,2031.7776,1924.0318,1877.855,1785.5015,1354.5184,1277.5571,1185.2036,1092.85,985.1043,954.3198,923.5353,815.7895
False,0.0,Владимирская область,1,False,25000.0,53000.0,11539.4737,8105.2632,7552.6316,6184.2105,2210.5263,1789.4737,1763.1579,1736.8421,1644.7368,1605.2632,1526.3158,1157.8947,1092.1053,1013.1579,934.2105,842.1053,815.7895,789.4737,697.3684
False,0.0,Приморский край,1,False,19300.0,65000.0,14152.1847,9940.4171,9262.6614,7584.4091,2711.0228,2194.6375,2162.3635,2130.0894,2017.1301,1968.719,1871.8967,1420.0596,1339.3744,1242.5521,1145.7299,1032.7706,1000.4965,968.2224,855.2632
