is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Личные установки и ценности, мировоззрение (2043_4)","Осуществление пассажирских перевозок (автобус, троллейбус, трамвай) (1853_28)",Вождение трамвая (1900_28),Соблюдение правил охраны труда (ОПТ) (3790_36),Навыки по техническому обслуживанию транспортных средств соответствующей категории (без привязки) (1851_28),Знание правил дорожного движения (1856_28),Пунктуальность (СК) (612_4),Склонность к здоровому образу жизни (СК) (1662_4),Внимательность (СК) (536_4),Коммуникабельность (СК) (617_4),"Оформление путевой документации (водители автобуса, троллейбуса, трамвая) (1862_28)",Соблюдение графика движения автобуса по маршруту (1866_28)
False,1.0,Свердловская область,0,False,23000.0,23000.0,5540.0977,4277.3786,3199.77,1619.7183,1427.9966,1421.3855,1308.9968,998.2754,958.6088,780.1092,773.4981,694.165
False,1.0,Алтайский край,2,False,22000.0,22000.0,5299.2239,4091.4056,3060.6496,1549.2958,1365.9097,1359.5861,1252.0839,954.8721,916.9302,746.1914,739.8678,663.9839
False,1.0,Ульяновская область,1,False,22000.0,22000.0,5299.2239,4091.4056,3060.6496,1549.2958,1365.9097,1359.5861,1252.0839,954.8721,916.9302,746.1914,739.8678,663.9839
False,1.0,Самарская область,0,False,11163.0,32719.0,7881.1503,6084.85,4551.8816,2304.1549,2031.4182,2022.0135,1862.1334,1420.1118,1363.6835,1109.7563,1100.3515,987.495
False,1.0,Республика Северная Осетия,1,False,18000.0,22000.0,5299.2239,4091.4056,3060.6496,1549.2958,1365.9097,1359.5861,1252.0839,954.8721,916.9302,746.1914,739.8678,663.9839
False,1.0,Орловская область,1,False,25000.0,25000.0,6021.8454,4649.3245,3478.0109,1760.5634,1552.1702,1544.9842,1422.8227,1085.0819,1041.9661,847.9448,840.7588,754.5272
False,1.0,Республика Крым,1,False,15200.0,15200.0,3661.282,2826.7893,2114.6306,1070.4225,943.7195,939.3504,865.0762,659.7298,633.5154,515.5504,511.1814,458.7525
False,1.0,Город федерального значения Санкт-Петербург,0,False,20000.0,80000.0,19269.9051,14877.8385,11129.635,5633.8028,4966.9445,4943.9494,4553.0325,3472.2621,3334.2915,2713.4234,2690.4283,2414.4869
False,1.0,Ставропольский край,2,False,18000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,1.0,Омская область,1,False,33000.0,33000.0,7948.8359,6137.1084,4590.9744,2323.9437,2048.8646,2039.3791,1878.1259,1432.3081,1375.3952,1119.2872,1109.8017,995.9759
False,1.0,Волгоградская область,2,False,22000.0,35000.0,8430.5835,6509.0543,4869.2153,2464.7887,2173.0382,2162.9779,1991.9517,1519.1147,1458.7525,1187.1227,1177.0624,1056.338
False,1.0,Ярославская область,1,False,17000.0,17000.0,4094.8548,3161.5407,2365.0474,1197.1831,1055.4757,1050.5892,967.5194,737.8557,708.5369,576.6025,571.716,513.0785
False,1.0,Город федерального значения Москва,0,False,40000.0,40000.0,9634.9526,7438.9192,5564.8175,2816.9014,2483.4723,2471.9747,2276.5162,1736.1311,1667.1457,1356.7117,1345.2141,1207.2435
False,1.0,Саратовская область,2,False,30000.0,42000.0,10116.7002,7810.8652,5843.0584,2957.7465,2607.6459,2595.5734,2390.3421,1822.9376,1750.503,1424.5473,1412.4748,1267.6056
False,1.0,Вологодская область,1,False,57000.0,57000.0,13729.8074,10600.4599,7929.8649,4014.0845,3538.948,3522.564,3244.0356,2473.9868,2375.6827,1933.3142,1916.9302,1720.3219
False,2.0,Ростовская область,0,False,30000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
False,2.0,Иркутская область,1,False,26000.0,26000.0,6262.7192,4835.2975,3617.1314,1830.9859,1614.257,1606.7836,1479.7356,1128.4852,1083.6447,881.8626,874.3892,784.7082
False,2.0,Республика Северная Осетия,1,False,18000.0,18000.0,4335.7287,3347.5137,2504.1679,1267.6056,1117.5625,1112.3886,1024.4323,781.259,750.2156,610.5203,605.3464,543.2596
False,2.0,Республика Крым,1,False,13950.0,15000.0,3613.1072,2789.5947,2086.8066,1056.338,931.3021,926.9905,853.6936,651.0492,625.1796,508.7669,504.4553,452.7163
False,2.0,Красноярский край,1,False,18000.0,18000.0,4335.7287,3347.5137,2504.1679,1267.6056,1117.5625,1112.3886,1024.4323,781.259,750.2156,610.5203,605.3464,543.2596
False,2.0,Город федерального значения Москва,0,False,30000.0,30000.0,7226.2144,5579.1894,4173.6131,2112.6761,1862.6042,1853.981,1707.3872,1302.0983,1250.3593,1017.5338,1008.9106,905.4326
True,0.0,Город федерального значения Москва,0,False,41500.0,41500.0,9996.2633,7717.8787,5773.4981,2922.5352,2576.6025,2564.6738,2361.8856,1801.236,1729.6637,1407.5884,1395.6597,1252.5151
