is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Пользователь ПК (922_8),Поиск клиентов для заключение договора страхования (6806_8),Заключение договоров с контрагентами (1212_8),"Саморазвитие, обучаемость (СК) (604_4)",Консультирование по кредитным продуктам (6873_8),Целеустремленность (СК) (588_4),Дисциплинированность (СК) (593_4),Знание 1С (2742_8),Обзвон клиентов (6852_8),Стрессоустойчивость (СК) (601_4),Пролонгация договоров страхования (6659_8),Продажа страховых продуктов (6818_8),Консультирование по вопросам страхования (6668_8),Работа с покупателями и клиентами (4062_8),Инициативность (СК) (610_4),Коммуникабельность (СК) (617_4),"Умение  вести переписку, деловые переговоры, коммуницировать (1320_8)",(О) Взаимодействие с банками (856_8),Поддержка и работа с клиентами (6891_8),"Ответственность , добросовестность (СК) (614_4)",Консультирование по экономическим и финансовым вопросам (3238_8),"Заключение, пролонгация, оформление договоров ОСАГО (6673_8)",Высокая работоспособность (СК) (586_4),Знание работы с компьютером (925_8),Внимательность (СК) (536_4),"Личные установки и ценности, мировоззрение (2043_4)",Ведение отчетности по договорам страхования (6670_8),анализ выполнения плана (3431_8),"Дальновидность, стратегическое мышление, рассудительность (СК) (590_4)",Доброжелательность (СК) (1126_4),Консультирование по программе автострахования (6844_8),Передача полисов клиентам (6931_8),Составление/формирование/подготовка отчетности (ОПТ) (3911_36),(О) Работа с документами (кроме первичных) (1601_8),Заключение новых договоров страхования (6657_8),Активность (СК) (576_4),Нравственность (СК) (622_4),Клиентоцентричность (клиенториентированность) (СК) (626_4),Расчет стоимости страхового полиса/премии (6796_8),Формирование и ведение базы клиентов (6893_8),Подготовка отчетности (3398_8),Ведение документооборота страхования (6820_8),"Приобретение, ремонт, продажа автомобилей (7130_8)","Страхование: заключение договора страхования, ведение учета по договорам страхования (3626_8)","Проектирование инвестиций: политика, программа, проект, бюджет (3243_8)",Выполнение продаж (6841_8),Пунктуальность (СК) (612_4)
False,0.0,Иркутская область,1,False,12000.0,35000.0,2407.2506,1932.9155,1737.2522,1506.0139,1375.5717,1369.6426,1292.5631,1274.7755,1203.6253,1197.6961,1185.8377,1108.7583,1043.5372,996.1037,907.1658,901.2367,853.8032,841.9448,758.9361,634.4232,622.5648,581.0605,539.5562,527.6978,521.7686,444.6891,432.8308,397.2556,379.4681,367.6097,361.6805,361.6805,355.7513,343.8929,343.8929,343.8929,337.9637,337.9637,332.0346,332.0346,332.0346,320.1762,320.1762,314.247,314.247,302.3886,302.3886
False,0.0,Иркутская область,1,True,15000.0,35000.0,2407.2506,1932.9155,1737.2522,1506.0139,1375.5717,1369.6426,1292.5631,1274.7755,1203.6253,1197.6961,1185.8377,1108.7583,1043.5372,996.1037,907.1658,901.2367,853.8032,841.9448,758.9361,634.4232,622.5648,581.0605,539.5562,527.6978,521.7686,444.6891,432.8308,397.2556,379.4681,367.6097,361.6805,361.6805,355.7513,343.8929,343.8929,343.8929,337.9637,337.9637,332.0346,332.0346,332.0346,320.1762,320.1762,314.247,314.247,302.3886,302.3886
False,0.0,Республика Татарстан,0,False,10000.0,55000.0,3782.8223,3037.4386,2729.9678,2366.5933,2161.6127,2152.2954,2031.1706,2003.2187,1891.4111,1882.0939,1863.4593,1742.3344,1639.8441,1565.3058,1425.5463,1416.229,1341.6907,1323.0561,1192.6139,996.9507,978.3161,913.095,847.874,829.2394,819.9221,698.7972,680.1626,624.2589,596.307,577.6724,568.3551,568.3551,559.0378,540.4032,540.4032,540.4032,531.0859,531.0859,521.7686,521.7686,521.7686,503.134,503.134,493.8167,493.8167,475.1821,475.1821
False,0.0,Республика Татарстан,0,True,10000.0,35000.0,2407.2506,1932.9155,1737.2522,1506.0139,1375.5717,1369.6426,1292.5631,1274.7755,1203.6253,1197.6961,1185.8377,1108.7583,1043.5372,996.1037,907.1658,901.2367,853.8032,841.9448,758.9361,634.4232,622.5648,581.0605,539.5562,527.6978,521.7686,444.6891,432.8308,397.2556,379.4681,367.6097,361.6805,361.6805,355.7513,343.8929,343.8929,343.8929,337.9637,337.9637,332.0346,332.0346,332.0346,320.1762,320.1762,314.247,314.247,302.3886,302.3886
False,0.0,Нижегородская область,0,False,12000.0,40000.0,2751.1435,2209.0462,1985.4311,1721.1587,1572.082,1565.3058,1477.215,1456.8863,1375.5717,1368.7955,1355.2431,1267.1523,1192.6139,1138.4042,1036.761,1029.9848,975.775,962.2226,867.3556,725.0551,711.5026,664.0691,616.6356,603.0832,596.307,508.2162,494.6637,454.0064,433.6778,420.1254,413.3491,413.3491,406.5729,393.0205,393.0205,393.0205,386.2443,386.2443,379.4681,379.4681,379.4681,365.9156,365.9156,359.1394,359.1394,345.587,345.587
False,0.0,Нижегородская область,0,True,15000.0,25000.0,1719.4647,1380.6539,1240.8945,1075.7242,982.5512,978.3161,923.2594,910.554,859.7323,855.4972,847.0269,791.9702,745.3837,711.5026,647.9756,643.7405,609.8594,601.3891,542.0972,453.1594,444.6891,415.0432,385.3973,376.927,372.6919,317.6351,309.1648,283.754,271.0486,262.5783,258.3432,258.3432,254.1081,245.6378,245.6378,245.6378,241.4027,241.4027,237.1675,237.1675,237.1675,228.6973,228.6973,224.4621,224.4621,215.9919,215.9919
False,0.0,Ульяновская область,1,False,10000.0,35000.0,2407.2506,1932.9155,1737.2522,1506.0139,1375.5717,1369.6426,1292.5631,1274.7755,1203.6253,1197.6961,1185.8377,1108.7583,1043.5372,996.1037,907.1658,901.2367,853.8032,841.9448,758.9361,634.4232,622.5648,581.0605,539.5562,527.6978,521.7686,444.6891,432.8308,397.2556,379.4681,367.6097,361.6805,361.6805,355.7513,343.8929,343.8929,343.8929,337.9637,337.9637,332.0346,332.0346,332.0346,320.1762,320.1762,314.247,314.247,302.3886,302.3886
False,0.0,Ульяновская область,1,True,22000.0,25000.0,1719.4647,1380.6539,1240.8945,1075.7242,982.5512,978.3161,923.2594,910.554,859.7323,855.4972,847.0269,791.9702,745.3837,711.5026,647.9756,643.7405,609.8594,601.3891,542.0972,453.1594,444.6891,415.0432,385.3973,376.927,372.6919,317.6351,309.1648,283.754,271.0486,262.5783,258.3432,258.3432,254.1081,245.6378,245.6378,245.6378,241.4027,241.4027,237.1675,237.1675,237.1675,228.6973,228.6973,224.4621,224.4621,215.9919,215.9919
False,0.0,Ярославская область,1,False,10000.0,40000.0,2751.1435,2209.0462,1985.4311,1721.1587,1572.082,1565.3058,1477.215,1456.8863,1375.5717,1368.7955,1355.2431,1267.1523,1192.6139,1138.4042,1036.761,1029.9848,975.775,962.2226,867.3556,725.0551,711.5026,664.0691,616.6356,603.0832,596.307,508.2162,494.6637,454.0064,433.6778,420.1254,413.3491,413.3491,406.5729,393.0205,393.0205,393.0205,386.2443,386.2443,379.4681,379.4681,379.4681,365.9156,365.9156,359.1394,359.1394,345.587,345.587
False,0.0,Ярославская область,1,True,10000.0,15000.0,1031.6788,828.3923,744.5367,645.4345,589.5307,586.9897,553.9556,546.3324,515.8394,513.2983,508.2162,475.1821,447.2302,426.9016,388.7854,386.2443,365.9156,360.8335,325.2583,271.8956,266.8135,249.0259,231.2384,226.1562,223.6151,190.5811,185.4989,170.2524,162.6292,157.547,155.0059,155.0059,152.4648,147.3827,147.3827,147.3827,144.8416,144.8416,142.3005,142.3005,142.3005,137.2184,137.2184,134.6773,134.6773,129.5951,129.5951
