is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Закрепление подвижного состава (1740_23),"Ответственность , добросовестность (СК) (614_4)",Выполнение работ по ограждению места производства работ (РЖД) (2680_23),Подача звуковых и видимых сигналов при выполнении работ по ограждению (2946_23),Пунктуальность (СК) (612_4),"Саморазвитие, обучаемость (СК) (604_4)","Установка и снятие знаков, сигналов, петард при производстве работ по ограждению (2945_23)",Коммуникабельность (СК) (617_4),"Знание сигналов, знаков, и правил их установки (2681_23)",Командность (СК) (1371_4),"Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Высокая работоспособность (СК) (586_4),Знание порядка пользования средствами связи (2962_23),Инициативность (СК) (610_4)
False,0.0,Московская область,2,False,26200.0,46267.0,12597.5408,10608.9355,2946.4198,2736.6128,2572.416,2563.294,2362.609,1833.5306,1733.1881,1641.9677,1523.3811,1441.2827,638.543,574.6887,492.5903
False,0.0,Республика Коми,1,False,34613.0,34613.0,9424.3993,7936.6954,2204.2585,2047.2989,1924.461,1917.6366,1767.5014,1371.6903,1296.6226,1228.3793,1139.6631,1078.2441,477.7031,429.9328,368.5138
False,0.0,Город федерального значения Москва,0,False,35000.0,46267.0,12597.5408,10608.9355,2946.4198,2736.6128,2572.416,2563.294,2362.609,1833.5306,1733.1881,1641.9677,1523.3811,1441.2827,638.543,574.6887,492.5903
False,0.0,Челябинская область,0,False,20000.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
False,0.0,Пермский край,1,False,28500.0,31000.0,8440.6546,7108.2413,1974.1719,1833.5962,1723.5804,1717.4685,1583.0047,1228.5095,1161.2776,1100.1577,1020.7019,965.694,427.8391,385.0552,330.0473
False,0.0,Республика Карелия,1,False,30000.0,40000.0,10891.1672,9171.9243,2547.3186,2365.9306,2223.9748,2216.0883,2042.5868,1585.1735,1498.4227,1419.5584,1317.0347,1246.0568,552.0505,496.8454,425.8675
False,0.0,Кабардино-Балкарская Республика,1,False,38426.0,38426.0,10462.5998,8811.0091,2447.0816,2272.8312,2136.4614,2128.8853,1962.211,1522.7969,1439.4598,1363.6987,1265.2094,1197.0244,530.3273,477.2946,409.1096
False,0.0,Мурманская область,1,False,43000.0,43000.0,11708.0047,9859.8186,2738.3675,2543.3754,2390.7729,2382.295,2195.7808,1704.0615,1610.8044,1526.0252,1415.8123,1339.511,593.4543,534.1088,457.8076
False,0.0,Пензенская область,1,False,37600.0,37600.0,10237.6972,8621.6088,2394.4795,2223.9748,2090.5363,2083.123,1920.0315,1490.0631,1408.5174,1334.3849,1238.0126,1171.2934,518.9274,467.0347,400.3155
False,0.0,Амурская область,1,False,18923.0,80000.0,21782.3344,18343.8486,5094.6372,4731.8612,4447.9495,4432.1767,4085.1735,3170.347,2996.8454,2839.1167,2634.0694,2492.1136,1104.1009,993.6909,851.735
False,0.0,Республика Бурятия,1,False,35000.0,65250.0,17766.2165,14961.7015,4155.3135,3859.4243,3627.8588,3614.9941,3331.9696,2585.8143,2444.3021,2315.6546,2148.4129,2032.6301,900.5323,810.4791,694.6964
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,50000.0,50000.0,13613.959,11464.9054,3184.1483,2957.4132,2779.9685,2770.1104,2553.2334,1981.4669,1873.0284,1774.4479,1646.2934,1557.571,690.0631,621.0568,532.3344
False,0.0,Республика Саха (Якутия),1,False,40000.0,40000.0,10891.1672,9171.9243,2547.3186,2365.9306,2223.9748,2216.0883,2042.5868,1585.1735,1498.4227,1419.5584,1317.0347,1246.0568,552.0505,496.8454,425.8675
False,0.0,Еврейская автономная область,1,False,40000.0,40000.0,10891.1672,9171.9243,2547.3186,2365.9306,2223.9748,2216.0883,2042.5868,1585.1735,1498.4227,1419.5584,1317.0347,1246.0568,552.0505,496.8454,425.8675
False,0.0,Омская область,1,False,28000.0,28000.0,7623.817,6420.347,1783.123,1656.1514,1556.7823,1551.2618,1429.8107,1109.6215,1048.8959,993.6909,921.9243,872.2397,386.4353,347.7918,298.1073
False,2.0,Приморский край,1,False,17861.0,17861.0,4863.1784,4095.4935,1137.4414,1056.4472,993.0603,989.5388,912.066,707.8196,669.0832,633.8683,588.0889,556.3955,246.5043,221.8539,190.1605
False,1.0,Свердловская область,0,False,45000.0,45000.0,12252.5631,10318.4148,2865.7334,2661.6719,2501.9716,2493.0994,2297.9101,1783.3202,1685.7256,1597.0032,1481.664,1401.8139,621.0568,558.9511,479.1009
False,1.0,Краснодарский край,0,False,20000.0,58000.0,15792.1924,13299.2902,3693.612,3430.5994,3224.7634,3213.3281,2961.7508,2298.5016,2172.7129,2058.3596,1909.7003,1806.7823,800.4732,720.4259,617.5079
False,1.0,Тюменская область,1,False,25000.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
False,1.0,Смоленская область,1,False,35000.0,35000.0,9529.7713,8025.4338,2228.9038,2070.1893,1945.9779,1939.0773,1787.2634,1387.0268,1311.1199,1242.1136,1152.4054,1090.2997,483.0442,434.7397,372.6341
False,1.0,Тверская область,1,False,18000.0,18000.0,4901.0252,4127.3659,1146.2934,1064.6688,1000.7886,997.2397,919.164,713.3281,674.2902,638.8013,592.6656,560.7256,248.4227,223.5804,191.6404
False,1.0,Город федерального значения Санкт-Петербург,0,False,25000.0,25000.0,6806.9795,5732.4527,1592.0741,1478.7066,1389.9842,1385.0552,1276.6167,990.7334,936.5142,887.224,823.1467,778.7855,345.0315,310.5284,266.1672
False,1.0,Курская область,2,False,25000.0,25000.0,6806.9795,5732.4527,1592.0741,1478.7066,1389.9842,1385.0552,1276.6167,990.7334,936.5142,887.224,823.1467,778.7855,345.0315,310.5284,266.1672
False,1.0,Красноярский край,1,False,100000.0,100000.0,27227.918,22929.8107,6368.2965,5914.8265,5559.9369,5540.2208,5106.4669,3962.9338,3746.0568,3548.8959,3292.5868,3115.142,1380.1262,1242.1136,1064.6688
False,1.0,Приморский край,1,False,60000.0,60000.0,16336.7508,13757.8864,3820.9779,3548.8959,3335.9621,3324.1325,3063.8801,2377.7603,2247.6341,2129.3375,1975.5521,1869.0852,828.0757,745.2681,638.8013
False,1.0,Хабаровский край,1,False,60000.0,100000.0,27227.918,22929.8107,6368.2965,5914.8265,5559.9369,5540.2208,5106.4669,3962.9338,3746.0568,3548.8959,3292.5868,3115.142,1380.1262,1242.1136,1064.6688
False,1.0,Забайкальский край,1,False,80000.0,80000.0,21782.3344,18343.8486,5094.6372,4731.8612,4447.9495,4432.1767,4085.1735,3170.347,2996.8454,2839.1167,2634.0694,2492.1136,1104.1009,993.6909,851.735
False,1.0,Новосибирская область,0,False,25000.0,25000.0,6806.9795,5732.4527,1592.0741,1478.7066,1389.9842,1385.0552,1276.6167,990.7334,936.5142,887.224,823.1467,778.7855,345.0315,310.5284,266.1672
False,1.0,Кемеровская область,1,False,28200.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
False,1.0,Иркутская область,1,False,55000.0,55000.0,14975.3549,12611.3959,3502.5631,3253.1546,3057.9653,3047.1215,2808.5568,2179.6136,2060.3312,1951.8927,1810.9227,1713.3281,759.0694,683.1625,585.5678
False,1.0,Московская область,2,False,55000.0,55000.0,14975.3549,12611.3959,3502.5631,3253.1546,3057.9653,3047.1215,2808.5568,2179.6136,2060.3312,1951.8927,1810.9227,1713.3281,759.0694,683.1625,585.5678
False,1.0,Город федерального значения Москва,0,False,32500.0,34613.0,9424.3993,7936.6954,2204.2585,2047.2989,1924.461,1917.6366,1767.5014,1371.6903,1296.6226,1228.3793,1139.6631,1078.2441,477.7031,429.9328,368.5138
False,1.0,Челябинская область,0,False,25000.0,25000.0,6806.9795,5732.4527,1592.0741,1478.7066,1389.9842,1385.0552,1276.6167,990.7334,936.5142,887.224,823.1467,778.7855,345.0315,310.5284,266.1672
False,1.0,Пермский край,1,False,32500.0,32500.0,8849.0733,7452.1885,2069.6964,1922.3186,1806.9795,1800.5718,1659.6017,1287.9535,1217.4685,1153.3912,1070.0907,1012.4211,448.541,403.6869,346.0174
False,1.0,Амурская область,1,False,60000.0,80000.0,21782.3344,18343.8486,5094.6372,4731.8612,4447.9495,4432.1767,4085.1735,3170.347,2996.8454,2839.1167,2634.0694,2492.1136,1104.1009,993.6909,851.735
False,1.0,Омская область,1,False,30000.0,100000.0,27227.918,22929.8107,6368.2965,5914.8265,5559.9369,5540.2208,5106.4669,3962.9338,3746.0568,3548.8959,3292.5868,3115.142,1380.1262,1242.1136,1064.6688
True,0.0,Ульяновская область,1,False,91000.0,91000.0,24777.4054,20866.1278,5795.1498,5382.4921,5059.5426,5041.6009,4646.8849,3606.2697,3408.9117,3229.4953,2996.2539,2834.7792,1255.9148,1130.3233,968.8486
True,0.0,Белгородская область,2,False,30000.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
True,0.0,Тверская область,1,False,30000.0,30000.0,8168.3754,6878.9432,1910.489,1774.4479,1667.9811,1662.0662,1531.9401,1188.8801,1123.817,1064.6688,987.776,934.5426,414.0379,372.6341,319.4006
