is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),Дисциплинированность (СК) (593_4),Высокая работоспособность (СК) (586_4),ЖКХс Осуществление сантехнических работ (8067_29),"Ответственность , добросовестность (СК) (614_4)",Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"ЖКХс ремонт инженерных систем (отопление, водоснабжение, канализация) и оборудования (8271_29)","ЖКХс Монтаж, установка, ремонт, замена оборудования сан-узлов (8120_29)","Личные установки и ценности, мировоззрение (2043_4)","ЖКХс Монтаж, установка, замена, ремонт и техническое обслуживание различных типов смесителей (8117_29)",ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),ЖКХс Опыт выполнения сантехнических работ (8081_29),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),ЖКХи Снятие и обработка показаний приборов учета (2887_29),ЖКХс Выполнение сантехнических и теплотехнических работ (6069_29),Чтение схем/чертежей (ОПТ) (3032_36),ЖКХ Знание инженерных систем зданий и сооружений (2565_29),ЖКХс Монтаж сантехнических и теплотехнических систем и оборудования (6085_29),"ЖКХ Подготовка данных, составление и ведение отчетности (2905_29)",Пунктуальность (СК) (612_4),"ЖКХс ремонт и обслуживание внутренних инженерных систем (отопление, водоснабжение, канализация) и оборудования (2656_29)",ЖКХ Монтаж ГВС и ХВС (2524_29),ЖКХс ремонт наружных и внутренних инженерных систем и оборудования (8272_29),Коммуникабельность (СК) (617_4),ЖКХа техническое обслуживание электротехнического оборудования (2792_29),Выполнение поручений руководителя (ОПТ) (3036_36),ЖКХсс монтаж/демонтаж трубопроводов из различных материалов (8366_29),"ЖКХс общие фразы по обслуживанию, ремонту, сборке  различных деталей, узлов и оборудования (8281_29)",ЖКХ Монтаж систем отопления (2525_29),ЖКХс знать сантехнические работы (8072_29),ЖКХс Ремонт и техническое обслуживание систем  отопления и ГВС (8279_29),ЖКХ Монтаж канализации (2527_29),Нравственность (СК) (622_4),"ЖКХс Монтаж, установка, замена, настройка и испытание сантехнических систем (8091_29)",Внимательность (СК) (536_4),ЖКХс Монтаж систем  отопления и ГВС (8116_29),Стрессоустойчивость (СК) (601_4),Трудолюбие (СК) (597_4),"Саморазвитие, обучаемость (СК) (604_4)","ЖКХс Монтаж, установка, замена и ремонт различных типов унитаза (8123_29)"
False,2.0,Алтайский край,2,True,15000.0,15000.0,1061.4224,1000.8082,948.2759,831.0884,828.3944,810.8836,696.3901,688.3082,612.8772,602.1013,522.6293,506.4655,409.4828,371.7672,330.0108,315.194,305.7651,272.0905,268.0496,251.8858,242.4569,222.2522,218.2112,218.2112,200.7004,188.5776,177.8017,173.7608,156.25,150.8621,145.4741,140.0862,137.3922,125.2694,113.1466,107.7586,105.0647,98.3297,96.9828,94.2888,88.9009,84.8599,79.472
False,2.0,Кемеровская область,1,False,25000.0,47500.0,3361.171,3169.2259,3002.8736,2631.7798,2623.2489,2567.7981,2205.2353,2179.6426,1940.7777,1906.6541,1654.9928,1603.8075,1296.6954,1177.2629,1045.0341,998.1142,968.2561,861.62,848.8236,797.6383,767.7802,703.7985,691.0022,691.0022,635.5514,597.1624,563.0388,550.2425,494.7917,477.7299,460.6681,443.6063,435.0754,396.6864,358.2974,341.2356,332.7047,311.3775,307.1121,298.5812,281.5194,268.7231,251.6613
False,2.0,Челябинская область,0,False,15000.0,35000.0,2476.6523,2335.2191,2212.6437,1939.2062,1932.9203,1892.0618,1624.9102,1606.0524,1430.0467,1404.903,1219.4684,1181.7529,955.4598,867.4569,770.0251,735.4526,713.4519,634.8779,625.449,587.7335,565.7328,518.5884,509.1595,509.1595,468.301,440.0144,414.8707,405.4418,364.5833,352.0115,339.4397,326.8678,320.5819,292.2953,264.0086,251.4368,245.1509,229.4361,226.2931,220.0072,207.4353,198.0065,185.4346
False,2.0,Белгородская область,2,False,25500.0,40500.0,2865.8405,2702.1821,2560.3448,2243.9386,2236.6649,2189.3858,1880.2532,1858.4321,1654.7683,1625.6735,1411.0991,1367.4569,1105.6034,1003.7716,891.0291,851.0237,825.5657,734.6444,723.7338,680.0916,654.6336,600.0808,589.1703,589.1703,541.8912,509.1595,480.0647,469.1541,421.875,407.3276,392.7802,378.2328,370.9591,338.2274,305.4957,290.9483,283.6746,265.4903,261.8534,254.5797,240.0323,229.1218,214.5744
False,2.0,Белгородская область,2,True,15000.0,15000.0,1061.4224,1000.8082,948.2759,831.0884,828.3944,810.8836,696.3901,688.3082,612.8772,602.1013,522.6293,506.4655,409.4828,371.7672,330.0108,315.194,305.7651,272.0905,268.0496,251.8858,242.4569,222.2522,218.2112,218.2112,200.7004,188.5776,177.8017,173.7608,156.25,150.8621,145.4741,140.0862,137.3922,125.2694,113.1466,107.7586,105.0647,98.3297,96.9828,94.2888,88.9009,84.8599,79.472
False,2.0,Курская область,2,True,15000.0,15000.0,1061.4224,1000.8082,948.2759,831.0884,828.3944,810.8836,696.3901,688.3082,612.8772,602.1013,522.6293,506.4655,409.4828,371.7672,330.0108,315.194,305.7651,272.0905,268.0496,251.8858,242.4569,222.2522,218.2112,218.2112,200.7004,188.5776,177.8017,173.7608,156.25,150.8621,145.4741,140.0862,137.3922,125.2694,113.1466,107.7586,105.0647,98.3297,96.9828,94.2888,88.9009,84.8599,79.472
False,2.0,Костромская область,1,True,15000.0,15000.0,1061.4224,1000.8082,948.2759,831.0884,828.3944,810.8836,696.3901,688.3082,612.8772,602.1013,522.6293,506.4655,409.4828,371.7672,330.0108,315.194,305.7651,272.0905,268.0496,251.8858,242.4569,222.2522,218.2112,218.2112,200.7004,188.5776,177.8017,173.7608,156.25,150.8621,145.4741,140.0862,137.3922,125.2694,113.1466,107.7586,105.0647,98.3297,96.9828,94.2888,88.9009,84.8599,79.472
False,2.0,Город федерального значения Севастополь,1,True,26250.0,26250.0,1857.4892,1751.4143,1659.4828,1454.4046,1449.6902,1419.0463,1218.6827,1204.5393,1072.535,1053.6773,914.6013,886.3147,716.5948,650.5927,577.5189,551.5894,535.0889,476.1584,469.0867,440.8001,424.2996,388.9413,381.8696,381.8696,351.2258,330.0108,311.153,304.0814,273.4375,264.0086,254.5797,245.1509,240.4364,219.2214,198.0065,188.5776,183.8631,172.077,169.7198,165.0054,155.5765,148.5048,139.076
False,2.0,Ленинградская область,1,False,35000.0,47500.0,3361.171,3169.2259,3002.8736,2631.7798,2623.2489,2567.7981,2205.2353,2179.6426,1940.7777,1906.6541,1654.9928,1603.8075,1296.6954,1177.2629,1045.0341,998.1142,968.2561,861.62,848.8236,797.6383,767.7802,703.7985,691.0022,691.0022,635.5514,597.1624,563.0388,550.2425,494.7917,477.7299,460.6681,443.6063,435.0754,396.6864,358.2974,341.2356,332.7047,311.3775,307.1121,298.5812,281.5194,268.7231,251.6613
False,2.0,Ярославская область,1,False,25000.0,45000.0,3184.2672,3002.4246,2844.8276,2493.2651,2485.1832,2432.6509,2089.1703,2064.9246,1838.6315,1806.3039,1567.8879,1519.3966,1228.4483,1115.3017,990.0323,945.5819,917.2953,816.2716,804.1487,755.6573,727.3707,666.7565,654.6336,654.6336,602.1013,565.7328,533.4052,521.2823,468.75,452.5862,436.4224,420.2586,412.1767,375.8082,339.4397,323.2759,315.194,294.9892,290.9483,282.8664,266.7026,254.5797,238.4159
