is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ на строительных площадках (4996_10),Управление трубоукладчиком Komatsu D355 (6293_10),Знание устройства и технических характеристик машин и агрегатов (3181_10),ТО и Р трубоукладчиков (6390_10),Управление трубоукладчиком Komatsu (6292_10),Дисциплинированность (СК) (593_4),Стыковка и укладка трубы в траншею (6406_10),Выполнение ремонтных работ (ОПТ) (8285_36),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),Погрузо-разгрузочные работы на погрузчике (6276_10),Монтаж-демонтаж механизмов (6407_10),Навыки управления трубоукладчиком (6290_10),Трудолюбие (СК) (597_4),Контроль исправности строп и съёмных грузозахватных приспособлений (6433_10),Пунктуальность (СК) (612_4),Выполнение работ по прокладке трубопроводов (6419_10),Выполнение работ по прокладке трубопроводов трубоукладчиком (6420_10),Управление трубоукладчиком Liebherr (6377_10),"Управление трубоукладчиком Liebherr RL, Komatsu D355 (6367_10)",Знание устройства и принципов работы трубоукладчика (6280_10),"Управление трубоукладчиком Komatsu, Caterpillar (6366_10)",Управление трубоукладчиком среднего класса (6439_10),Работа в сварочно-монтажных бригадах (6404_10),Настройка и регулировка механизмов (6451_10),Пусто2 (6392_10),Нравственность (СК) (622_4),Определение правильности и надежности строповки грузов (6400_10),Контроль соответствия съёмных грузозахватных приспособлений массе и характеру груза (6409_10),Командность (СК) (1371_4),Заправка бульдозера ГСМ (3224_10),Выявление и устранение неисправностей в работе машины (6411_10),Управление трубоукладчиком Caterpillar (6376_10),Управление краном при выполнении строительных монтажных работ (6291_10),Контрольный осмотр и проверка исправности агрегатов трубоукладчика (6431_10),Монтаж/установка опалубки (305_10)
False,2.0,Краснодарский край,0,False,60000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Амурская область,1,False,126000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Томская область,1,False,75000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Хабаровский край,1,False,142000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Ульяновская область,1,False,76500.0,100000.0,12666.6667,9800.0,7306.6667,4920.0,4620.0,4506.6667,4200.0,3820.0,3613.3333,3026.6667,3020.0,2906.6667,2793.3333,2786.6667,2740.0,2600.0,2240.0,2126.6667,2100.0,1793.3333,1553.3333,1393.3333,1233.3333,1153.3333,1146.6667,1093.3333,1073.3333,1040.0,1000.0,800.0,793.3333,760.0,700.0,653.3333,593.3333,546.6667,520.0,360.0
False,2.0,Архангельская область,1,False,126000.0,126000.0,15960.0,12348.0,9206.4,6199.2,5821.2,5678.4,5292.0,4813.2,4552.8,3813.6,3805.2,3662.4,3519.6,3511.2,3452.4,3276.0,2822.4,2679.6,2646.0,2259.6,1957.2,1755.6,1554.0,1453.2,1444.8,1377.6,1352.4,1310.4,1260.0,1008.0,999.6,957.6,882.0,823.2,747.6,688.8,655.2,453.6
False,2.0,Свердловская область,0,False,126000.0,150000.0,19000.0,14700.0,10960.0,7380.0,6930.0,6760.0,6300.0,5730.0,5420.0,4540.0,4530.0,4360.0,4190.0,4180.0,4110.0,3900.0,3360.0,3190.0,3150.0,2690.0,2330.0,2090.0,1850.0,1730.0,1720.0,1640.0,1610.0,1560.0,1500.0,1200.0,1190.0,1140.0,1050.0,980.0,890.0,820.0,780.0,540.0
False,2.0,Омская область,1,False,90000.0,130000.0,16466.6667,12740.0,9498.6667,6396.0,6006.0,5858.6667,5460.0,4966.0,4697.3333,3934.6667,3926.0,3778.6667,3631.3333,3622.6667,3562.0,3380.0,2912.0,2764.6667,2730.0,2331.3333,2019.3333,1811.3333,1603.3333,1499.3333,1490.6667,1421.3333,1395.3333,1352.0,1300.0,1040.0,1031.3333,988.0,910.0,849.3333,771.3333,710.6667,676.0,468.0
False,2.0,Республика Саха (Якутия),1,False,76500.0,76500.0,9690.0,7497.0,5589.6,3763.8,3534.3,3447.6,3213.0,2922.3,2764.2,2315.4,2310.3,2223.6,2136.9,2131.8,2096.1,1989.0,1713.6,1626.9,1606.5,1371.9,1188.3,1065.9,943.5,882.3,877.2,836.4,821.1,795.6,765.0,612.0,606.9,581.4,535.5,499.8,453.9,418.2,397.8,275.4
False,2.0,Курская область,2,False,170000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
