is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Закрепление подвижного состава (1740_23),Опробование тормозов (составитель поездов) (3673_23)
False,0.0,Ивановская область,1,False,27000.0,38600.0,14430.397,9623.7629,7703.2083,3547.2539,3295.3779
False,0.0,Тюменская область,1,False,17196.5,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,0.0,Тамбовская область,2,False,20000.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,0.0,Республика Крым,1,False,35000.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,0.0,Чувашская Республика,1,False,20000.0,37800.0,14131.3214,9424.3067,7543.5563,3473.7357,3227.0799
False,0.0,Ульяновская область,1,False,25000.0,36000.0,13458.4013,8975.5302,7184.3393,3308.3197,3073.4095
False,0.0,Свердловская область,0,False,17196.5,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
False,0.0,Кемеровская область,1,False,19250.0,56000.0,20935.2909,13961.9358,11175.6389,5146.2751,4780.8592
False,0.0,Республика Башкортостан,0,False,19250.0,56000.0,20935.2909,13961.9358,11175.6389,5146.2751,4780.8592
False,0.0,Ярославская область,1,False,20000.0,51000.0,19066.0685,12715.3344,10177.814,4686.7863,4353.9967
False,0.0,Краснодарский край,0,False,19250.0,39161.0,14640.1237,9763.6316,7815.1642,3598.8086,3343.2719
False,0.0,Республика Карелия,1,False,30000.0,65000.0,24299.8912,16205.8184,12971.7238,5973.3551,5549.2115
False,0.0,Белгородская область,2,False,19250.0,39161.0,14640.1237,9763.6316,7815.1642,3598.8086,3343.2719
False,0.0,Омская область,1,False,17196.5,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,0.0,Ленинградская область,1,False,20000.0,76000.0,28412.1805,18948.3415,15166.9386,6984.2306,6488.3089
False,0.0,Новосибирская область,0,False,19250.0,55000.0,20561.4464,13712.6156,10976.074,5054.3774,4695.4867
False,0.0,Республика Хакасия,1,False,22000.0,39000.0,14579.9347,9723.491,7783.0343,3584.0131,3329.5269
False,0.0,Нижегородская область,0,False,19250.0,50000.0,18692.224,12466.0141,9978.249,4594.8885,4268.6243
False,0.0,Смоленская область,1,False,20000.0,58000.0,21682.9799,14460.5764,11574.7689,5330.0707,4951.6041
False,0.0,Челябинская область,0,False,19250.0,65000.0,24299.8912,16205.8184,12971.7238,5973.3551,5549.2115
False,0.0,Удмуртская Республика,1,False,25000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,0.0,Саратовская область,2,False,20000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,0.0,Республика Татарстан,0,False,17196.5,56000.0,20935.2909,13961.9358,11175.6389,5146.2751,4780.8592
False,0.0,Пермский край,1,False,25000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
