is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),Склонность к здоровому образу жизни (СК) (1662_4),Коммуникабельность (СК) (617_4),ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29)
False,0.0,Пензенская область,1,False,9489.0,45000.0,13247.8632,9423.0769,4209.4017,3119.6581,2863.2479,2542.735,1987.1795,1901.7094,1858.9744,1474.359,1196.5812,1175.2137
False,0.0,Костромская область,1,False,9489.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
False,0.0,Брянская область,1,False,9489.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
False,0.0,Оренбургская область,2,False,9489.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Вологодская область,1,False,9489.0,35000.0,10303.8936,7329.0598,3273.9791,2426.4008,2226.9706,1977.6828,1545.584,1479.1073,1445.8689,1146.7236,930.6743,914.0551
False,0.0,Вологодская область,1,True,16242.0,18500.0,5446.3438,3873.9316,1730.5318,1282.5261,1177.113,1045.3466,816.9516,781.8139,764.245,606.1254,491.9278,483.1434
False,0.0,Челябинская область,0,False,9489.0,60000.0,17663.8177,12564.1026,5612.5356,4159.5442,3817.6638,3390.3134,2649.5726,2535.6125,2478.6325,1965.812,1595.4416,1566.9516
False,0.0,Челябинская область,0,True,13210.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,Астраханская область,1,False,9489.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
False,0.0,Астраханская область,1,True,13210.0,14711.0,4330.8737,3080.5085,1376.1002,1019.8509,936.0275,831.2483,649.6311,621.6899,607.7194,481.9843,391.1757,384.1904
False,0.0,Республика Северная Осетия,1,False,11280.0,33000.0,9715.0997,6910.2564,3086.8946,2287.7493,2099.7151,1864.6724,1457.265,1394.5869,1363.2479,1081.1966,877.4929,861.8234
False,0.0,Удмуртская Республика,1,False,9489.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Удмуртская Республика,1,True,13210.0,13210.0,3888.9839,2766.1966,1235.6933,915.793,840.5223,746.434,583.3476,558.2574,545.7123,432.8063,351.2631,344.9905
False,0.0,Архангельская область,1,False,9489.0,35732.0,10519.3922,7482.3419,3342.452,2477.1472,2273.5461,2019.0446,1577.9088,1510.0418,1476.1083,1170.7066,950.1387,933.1719
False,0.0,Архангельская область,1,True,9489.0,16242.0,4781.5954,3401.1026,1519.3134,1125.9886,1033.4416,917.7578,717.2393,686.3903,670.9658,532.1453,431.886,424.1738
False,0.0,Республика Мордовия,1,False,9489.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Кировская область,1,False,9489.0,33000.0,9715.0997,6910.2564,3086.8946,2287.7493,2099.7151,1864.6724,1457.265,1394.5869,1363.2479,1081.1966,877.4929,861.8234
False,0.0,Кировская область,1,True,16242.0,18679.0,5499.0408,3911.4145,1747.2759,1294.9354,1188.5024,1055.4611,824.8561,789.3784,771.6396,611.99,496.6876,487.8181
False,0.0,Ульяновская область,1,False,9489.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Ульяновская область,1,True,13210.0,16500.0,4857.5499,3455.1282,1543.4473,1143.8746,1049.8575,932.3362,728.6325,697.2934,681.6239,540.5983,438.7464,430.9117
False,0.0,Псковская область,1,False,9489.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
